budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
96,electricity,1,0.4694200699518448,5C58AE30FDDEC4023C7211BBB3D1B7D45405C226AB8036AC47C769DB3125F8FB,1,12421,1,kernelshap_paired,logreg,0.0007896275322967115,smoke,196,0.03236400010064244,mean_shift,0,1.0,1.1325216955366175e-07,0.4690614804870982,F5875F66A14021F082A40B9D5AF45091575DACEB892B542B8B561A8B2D306FCE,0.8,8.53820437026766e-06,94C35673AE757CA5093EEF2F02814983987544C1B7F7DDB8FAF309110762CE5B,94C35673AE757CA5093EEF2F02814983987544C1B7F7DDB8FAF309110762CE5B
96,electricity,1,0.4862563989428334,2C547E009535B538CE0BD2B9D6B946AFBA93D695362E8A2D527063A3D18F19E1,1,12421,1,lime_independent,logreg,0.0041589526536821375,smoke,192,0.02881109993904829,mean_shift,0,1.0,3.50701848422707e-05,0.4801283963677329,4654B464A884B4AC5B292096B9C4FF5FAF73481700B5C3C7B615B48B6EC5BE2B,1.0,4.703575643773368e-05,,
96,electricity,1,0.4790567158494329,67C53A24482DE128BA9A36AD49EA323D00E567248CF8CA4D978A94CDD5693F2C,1,12421,1,lime_paired,logreg,0.0010951385261309345,smoke,192,0.032384099904447794,mean_shift,0,1.0,1.0566606399129404e-06,0.4801283963677329,4654B464A884B4AC5B292096B9C4FF5FAF73481700B5C3C7B615B48B6EC5BE2B,1.0,1.2385490595827822e-05,,
96,electricity,0,0.002703488695419599,51997FC95B59DD4E38B5CA52DF7485A646CB06C71CCB69184F5EE9A9785D02A0,0,2900,0,glime_independent,logreg,0.0005130369505082307,smoke,192,0.01980739994905889,null,0,0.0,5.341930478585495e-11,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.8,9.136063907826956e-07,,
96,electricity,0,0.005113322626798124,FB75864C00FE58D119E4BAFFE1DC835AF10B2991C19855BAA576D66AF065319E,0,2900,0,kernelshap_independent,logreg,0.0018377932006110199,smoke,196,0.030057600000873208,null,0,0.0,6.836168868018293e-10,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,3.268258535715708e-06,0D93E0ADC8B93920BFAF53E4BFE948640EF69406CE69CBC7AF1C0D4C28A88976,AB18C8293655E6E8B4583A774F9C3F07DB7B0015D145EF9012A3957E44AF8986
96,electricity,0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,2900,0,kernelshap_paired,logreg,0.0,smoke,196,0.03532560006715357,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,153600D5B4F53E8606A08E8140740010D7BBA4F59F67F575A48475B1B4153189,153600D5B4F53E8606A08E8140740010D7BBA4F59F67F575A48475B1B4153189
96,electricity,0,0.005325552999795047,672D70858B3D82A3D3D61D3ABFC26AED853713B52E241E27FF1FC82C16F766C7,0,2900,0,lime_independent,logreg,0.00199080605003881,smoke,192,0.027927699964493513,null,0,0.0,8.043755191201467e-10,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.8,3.5451893442032534e-06,,
96,electricity,0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,2900,0,lime_paired,logreg,0.0,smoke,192,0.023945400025695562,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,,
64,electricity,0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,2900,0,lime_paired_slime_budget,logreg,0.0,smoke,128,0.026548000052571297,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,,
-1,electricity,0,0.0044779331817041985,F51F1A3BD98208A2AC5E5703D605BE8B917BB5C413BB8B086BA24F7DF8B9EB77,0,2900,0,slime_independent,logreg,0.001407520559946926,smoke,128,0.03484720014967024,null,0,0.0,4.020781153056915e-10,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.8,2.506485697475936e-06,,
