budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
256,adult,4,0.035480779882213334,005ED978323656423D2D5DE807A8816A46C80B6C1D711F569B55115D39C58DE2,1,10484,3,lime_independent,logreg,0.013527637809879046,full,512,0.057485600002110004,null,1,0.0,1.5847933090191949e-06,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0.2,8.99204100750053e-05,,
256,adult,4,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,0,10484,3,lime_paired,logreg,0.0,full,512,0.05877540004439652,null,1,0.0,0.0,0.0,B5FDAB78D8947EACC864BFEECB4D2100780E5AFE1CD8EFAFB124887913AC49FA,1.0,0.0,,
256,adult,0,0.5500094065557818,5B2CDB11D9A5DE854070E10BD9F5AF8AC13E362E6A6EE6131821E1BB1DCD4E9D,1,14608,0,glime_independent,hgb,0.004049562903375864,full,512,0.06110280007123947,mean_shift,2,1.0,9.651628149557332e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,4.7417490974009384e-05,,
256,adult,0,0.5945106618658896,3961511778B4C12FC7BFD8D2455BCD09A1F51AE2DEE06098852BB1DCE0DD008D,1,14608,0,kernelshap_independent,hgb,0.015426809697261658,full,516,0.093376399949193,mean_shift,2,1.0,0.0005555182842519103,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,0.8,0.00018912038280741088,CC7BDFD21B95DECBBB5D97489BC5302CD0C4E8D18E3818AE6FAA6ABBBCF7EA3E,682BC53278D24A0839FF741945B7A478099E80DE4C02A072991CEC03036E5E4C
256,adult,0,0.5716372636895692,04ABF43943CE24F02E2A8F30D9CC5656CB785BE7C430C72644F8A815AC904F66,1,14608,0,kernelshap_paired,hgb,0.007831125861847175,full,516,0.08528229990042746,mean_shift,2,1.0,9.636867550099805e-06,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,1.0,9.600335713407051e-05,1AEC9C8AF859405D608AD62C08EA6BF7259BD996A2FA5C5B43291B069426D3AD,1AEC9C8AF859405D608AD62C08EA6BF7259BD996A2FA5C5B43291B069426D3AD
256,adult,0,0.5801636274631794,F465B40FA25EBF90BD170B35C1F50CEB206087636ACA5247677954FE65A9614B,1,14608,0,lime_independent,hgb,0.0087283129089014,full,512,0.08028999995440245,mean_shift,2,1.0,0.0005883155666507363,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,0.00010220231379320978,,
256,adult,0,0.565973855653053,9662D5C42597C3F17EE63DBC95474C02C15C5F18ED3609DFD472F49D703D5997,1,14608,0,lime_paired,hgb,0.0018013839018606662,full,512,0.07218490005470812,mean_shift,2,1.0,6.386867478788622e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,2.1092919642264875e-05,,
640,adult,0,0.5668871435749545,4B7655E620C3566E80E1E71A8E5C7E97384E6B09A6DBC0FF167297AABD9E2352,1,14608,0,lime_paired_slime_budget,hgb,0.003541538251486585,full,1280,0.07316739996895194,mean_shift,2,1.0,8.147618990630405e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,4.1468884934218646e-05,,
-1,adult,0,0.564692994875954,643625DD00CABF55CB554CF50F276596D33FBA7623BB4D209A7F60EB0A2ABBA1,1,14608,0,slime_independent,hgb,0.005928316198868832,full,1280,0.18170909979380667,mean_shift,2,1.0,4.281819237438031e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,6.941635098854651e-05,,
256,adult,1,0.562086476674491,63EDBBF1F4B24DE0BBB3B448BE2123E96C19B67FC0549065812BAA0A7041072F,1,14608,0,glime_independent,hgb,0.0002766013220625466,full,512,0.05913580022752285,mean_shift,2,1.0,1.3007490973326301e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,3.2388040401511243e-06,,
256,adult,1,0.5700690315877913,418E9C676257B05091EB2CE12B08E67CE9445F1CCE7E675C7A51154C2886F858,1,14608,0,kernelshap_independent,hgb,0.010700342388205797,full,516,0.07432629982940853,mean_shift,2,1.0,2.3958978094048737e-05,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,1.0,0.00013117766332380797,8C8EC839766E642A02A137FD49129A5D1C5CA665F96426781376AA63BECDB4B8,41B6393662D8F49D88431269A4A6C1B84FAD2330C15D08D3CED6889B59D3E23D
