dataset,model,window,seed,method,acc,ece,mean_conf,expl_time_s,n_window,n_explained,reference_window,window_hash,subsample_hash,dataset_fingerprint,cache_schema,seed_policy_version,lime_sampling_space,lime_pairing,pi_pairing,config_hash,source_hash,host,top3,top5,spearman,cosine,sign
electricity-temporal,hgb,2,1,shap,0.7591424968474149,0.2316788523516515,0.978529134376276,0.3412791999999172,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,759585a98cc608cb608fe3a29ce34e465215aff394e68cf005308b0adb8110e9,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,0.9974839218015898,1.0
electricity-temporal,hgb,2,2,lime,0.7591424968474149,0.2316788523516515,0.978529134376276,0.8955625999988115,3172,30,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,5db04a71506960291f1df142403e595260e07eaec02039136bc6d9889bb10b24,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.9761904761904764,0.9997037856945402,1.0
electricity-temporal,hgb,2,2,pi,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2097276999993482,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,5db04a71506960291f1df142403e595260e07eaec02039136bc6d9889bb10b24,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,0.6666666666666666,1.0,-0.2162162162162162,0.968372186096758,0.3333333333333333
electricity-temporal,hgb,2,2,shap,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2754640999992261,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,5db04a71506960291f1df142403e595260e07eaec02039136bc6d9889bb10b24,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,0.9975474240833592,1.0
electricity-temporal,hgb,2,3,lime,0.7591424968474149,0.2316788523516515,0.978529134376276,0.8027534000011656,3172,30,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,e5641c903fd57ae8d5935254bf93d195d4d09d3445c5d07c306bb318caa12be6,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.9285714285714288,0.9997756593483812,1.0
electricity-temporal,hgb,2,3,pi,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2081484999998792,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,e5641c903fd57ae8d5935254bf93d195d4d09d3445c5d07c306bb318caa12be6,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,0.6666666666666666,1.0,0.7027027027027026,0.9992567711865964,1.0
electricity-temporal,hgb,2,3,shap,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2366194999995059,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,e5641c903fd57ae8d5935254bf93d195d4d09d3445c5d07c306bb318caa12be6,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.975,0.9937446588801362,1.0
electricity-temporal,hgb,2,4,lime,0.7591424968474149,0.2316788523516515,0.978529134376276,0.8337007999998605,3172,30,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,050e3aa48fcd2c4f3b2383295dcc24b2fd31dc84c47b4d96f6317846a829faca,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,0.9285714285714288,0.999517622764055,1.0
electricity-temporal,hgb,2,4,pi,0.7591424968474149,0.2316788523516515,0.978529134376276,0.2303143000008276,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,050e3aa48fcd2c4f3b2383295dcc24b2fd31dc84c47b4d96f6317846a829faca,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,0.6666666666666666,1.0,0.9729729729729728,0.998976979712886,1.0
electricity-temporal,hgb,2,4,shap,0.7591424968474149,0.2316788523516515,0.978529134376276,0.3077412000002368,3172,100,1,d97d42d885b082a7840829322571c102befa9c9bd60ffa4140a8727947c75420,050e3aa48fcd2c4f3b2383295dcc24b2fd31dc84c47b4d96f6317846a829faca,a56ffef72cbeddf7307b7ee6b0c7688b74b8aa965fce826079937135eb0a99a1,temporal-v2-raw-space-lime,v2-raw-lime-cell-keyed,raw_mixed_feature,window_position_keyed_crn,fixed_seed_across_windows,2f0551386c3480bb7676746d2387490c7623e474170c111e7c0fa1238c421a97,401dcbb27ea88a966cfbca7cd8063507f41f826f89d3b05dacd3c216b5c5e53a,canayxps15,1.0,1.0,1.0,0.9967071756814194,1.0
