dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable,expl_time_s
adult,logreg,gradual,0.4,0,shap,0.737186924179349,0.2776905753088104,0.227912348249409,0.2265980082050304,0.8302197050445128,0.76,0.75,0.8780000000000001,0.6763956043956044,0.7198042771720122,0.838150974025974,0.7346491228070176,0.8842105263157893,0.6875072296124929,0.7111518100514992,0.8417485475051264,0.2691662311553955
adult,logreg,gradual,0.4,0,lime,0.737186924179349,0.2776905753088104,0.227912348249409,0.2265980082050304,0.8302197050445128,0.76,0.7333333333333332,0.68,0.821831501831502,0.9353769109517844,0.9104264254264256,0.7066666666666666,0.6719999999999999,0.8065934065934067,0.9286797096921772,0.904148074148074,0.2767469882965088
adult,logreg,gradual,0.4,0,pi,0.737186924179349,0.2776905753088104,0.227912348249409,0.2265980082050304,0.8302197050445128,0.76,1.0,0.8,0.9956043956043956,0.9966162642651486,1.0,,,,,,0.1102521419525146
adult,logreg,gradual,0.6,0,shap,0.6406879137378011,0.3943902272572169,0.3439753790192318,0.3426610389748533,0.8360035391269309,0.62,0.6916666666666665,0.8440000000000001,0.6241758241758242,0.542336862366624,0.8318593073593074,0.6854838709677419,0.8483870967741935,0.6489188231123714,0.5427122169602492,0.8358091281478379,0.309380292892456
adult,logreg,gradual,0.6,0,lime,0.6406879137378011,0.3943902272572169,0.3439753790192318,0.3426610389748533,0.8360035391269309,0.62,0.7666666666666665,0.706666666666667,0.8177289377289377,0.9367687202254956,0.8987649387649388,0.7301587301587302,0.6761904761904761,0.8059654631083204,0.9275126066110798,0.885753664325093,0.2758157253265381
adult,logreg,gradual,0.6,0,pi,0.6406879137378011,0.3943902272572169,0.3439753790192318,0.3426610389748533,0.8360035391269309,0.62,1.0,0.8,0.9812987236176436,0.9919521279106464,1.0,,,,,,0.0991528034210205
adult,logreg,gradual,0.8,0,shap,0.5297208762710708,0.5136832048044769,0.451598876661725,0.4502845366173464,0.8491669846797256,0.5,0.6466666666666667,0.8230000000000001,0.5946373626373627,0.4095953131405416,0.8228650793650795,0.6566666666666666,0.8239999999999997,0.626945054945055,0.4325992818767141,0.8324011544011544,0.394991397857666
adult,logreg,gradual,0.8,0,lime,0.5297208762710708,0.5136832048044769,0.451598876661725,0.4502845366173464,0.8491669846797256,0.5,0.7222222222222222,0.6800000000000002,0.7869597069597071,0.929335610657568,0.8942479742479744,0.6862745098039216,0.6823529411764706,0.7517776341305753,0.9131661717253904,0.8844097079391197,0.4341278076171875
adult,logreg,gradual,0.8,0,pi,0.5297208762710708,0.5136832048044769,0.451598876661725,0.4502845366173464,0.8491669846797256,0.5,1.0,0.8,0.9692307692307692,0.9857403781650956,1.0,,,,,,0.2120885848999023
adult,logreg,gradual,1.0,0,shap,0.4224390909711322,0.6230123524192998,0.5452614443140437,0.5439471042696651,0.8713060532341873,0.375,0.615,0.804,0.5804175824175825,0.3136895470348785,0.8164146825396825,0.6488888888888888,0.8106666666666665,0.6397362637362637,0.4000577186468595,0.8434040404040404,0.2514476776123047
