budget,dimension,margin,margin_name,rho,signal,unit_id,seed,replications,truth_theta,truth_topk_changed,theory_independent_vector_mse,theory_paired_vector_mse,theory_mse_difference,empirical_independent_vector_mse,empirical_paired_vector_mse,empirical_mse_difference,difference_mcse,difference_ci95_low,difference_ci95_high,empirical_relative_reduction,identity_relative_error,zero_normalized_identity_error,expected_sign,empirical_sign,sign_match,paired_plugin_bias,independent_plugin_bias,paired_split_bias,independent_split_bias,paired_split_mse,independent_split_mse,paired_topk_disagreement,independent_topk_disagreement,paired_topk_condition_error,independent_topk_condition_error,paired_margin_bound_violation,independent_margin_bound_violation
64,8,0.5,separated,0.0,weak,p08_b064_rhop0d00_weak_separated,3191928922,8000,0.30250000000000005,True,0.25,0.25,0.0,0.25092813840578226,0.2503358134608874,0.000592324944894862,0.001985391679342464,-0.003299042746616368,0.004483692636406092,0.0023605361624968735,,0.002369299779579448,0,1,False,0.251007037367405,0.2530530884550027,0.0006836393168836996,-0.002249682033404532,0.06985871863509527,0.06785956596380817,0.624375,0.62425,0.392625,0.392875,0.0,0.0
64,8,0.05,near_tie,0.0,moderate,p08_b064_rhop0d00_moderate_near_tie,97427761,8000,0.30249999999999994,True,0.25,0.25,0.0,0.2480836384692127,0.25004912113853883,-0.0019654826693261407,0.001954032044752468,-0.005795385477040978,0.0018644201383886962,-0.007922661411506438,,0.007861930677304563,0,-1,False,0.2511741328293236,0.24861760664238525,-0.00010352946102049065,-0.0044033837240547435,0.06743241056491085,0.06770635274476715,0.60925,0.61425,0.39375,0.387625,0.0,0.0
64,8,0.5,separated,0.0,moderate,p08_b064_rhop0d00_moderate_separated,3559297753,8000,1.0,True,0.25,0.25,0.0,0.2495688871384071,0.24998610795073858,-0.0004172208123314758,0.0019794968230416403,-0.004297034585493091,0.0034625929608301394,-0.0016717661288447871,,0.0016688832493259032,0,-1,False,0.25343706009117306,0.24248822652237823,0.0004783750315653368,-0.002987853681939545,0.15959344338357284,0.15536758624928812,0.997375,0.995,0.049625,0.05475,0.0,0.0
64,8,0.05,near_tie,0.25,null,p08_b064_rhop0d25_null_near_tie,2450801009,8000,0.0,False,0.25,0.1875,0.0625,0.2513281100762653,0.18863447233006078,0.06269363774620454,0.0017596587986329875,0.059244706500883884,0.0661425689915252,0.24944936611817992,0.0030982039392726257,,1,1,True,0.18863447233006078,0.2513281100762653,0.0024952787298182714,-0.0011934582449592555,0.018413317611678335,0.03175277290930961,0.407,0.4765,0.595875,0.6255,0.0,0.0
64,8,0.5,separated,0.25,null,p08_b064_rhop0d25_null_separated,1051584157,8000,0.0,False,0.25,0.1875,0.0625,0.24824903882889962,0.18771999809415385,0.06052904073474577,0.0017396466390654248,0.057119333322177536,0.063938748147314,0.2438238674368609,0.031535348244067674,,1,1,True,0.18771999809415388,0.24824903882889962,0.00014089220364737963,-0.0016632058096699952,0.017953835469756856,0.03216408205597663,0.00325,0.004625,0.00325,0.004625,0.0,0.0
64,8,0.05,near_tie,0.25,weak,p08_b064_rhop0d25_weak_near_tie,3888826059,8000,0.009999999999999995,True,0.25,0.1875,0.0625,0.24950399241457125,0.1869835537755642,0.06252043863900705,0.0017514593446184194,0.05908757832355495,0.06595329895445916,0.2505789107178864,0.00032701822411285164,,1,1,True,0.1863979078154484,0.24971706623763246,-0.001263754489663137,0.002005780065327284,0.018670784913982323,0.03154098249141172,0.44925,0.5245,0.6725,0.622125,0.0,0.0
64,8,0.5,separated,0.25,weak,p08_b064_rhop0d25_weak_separated,3593966836,8000,0.30250000000000005,True,0.25,0.1875,0.0625,0.24926237642706128,0.18817055156252896,0.061091824864532324,0.0017387635489644123,0.057683848308562075,0.06449980142050257,0.24509043739462588,0.022530802167482822,,1,1,True,0.1884580372268227,0.2502056142708156,-0.0008002008479102152,0.00465454309329888,0.04480434864517515,0.07078627538538902,0.617,0.621375,0.40025,0.396875,0.0,0.0
64,8,0.05,near_tie,0.25,moderate,p08_b064_rhop0d25_moderate_near_tie,1295861668,8000,0.30249999999999994,True,0.25,0.1875,0.0625,0.2492049235202229,0.1844674456004094,0.06473747791981349,0.0017370304445912333,0.061332898248414675,0.06814205759121231,0.2597760790811987,0.035799646717015854,,1,1,True,0.18373986353105554,0.24812977792403773,-5.310569271632648e-05,-0.0036328856021649036,0.04464931566687598,0.06757825325387558,0.615625,0.607125,0.38625,0.395,0.0,0.0
64,8,0.5,separated,0.25,moderate,p08_b064_rhop0d25_moderate_separated,3303186913,8000,1.0,True,0.25,0.1875,0.0625,0.2504294683961848,0.1883238551794417,0.0621056132167431,0.0017389160525555735,0.058697337753734175,0.06551388867975202,0.2479964263570239,0.006310188532110406,,1,1,True,0.18903890026381265,0.2522161795159279,0.0008253560108699709,0.00045429650277717393,0.11328677672666385,0.15217035632330939,0.99625,0.996875,0.050875,0.047375,0.0,0.0
64,8,0.05,near_tie,0.75,null,p08_b064_rhop0d75_null_near_tie,2393855991,8000,0.0,False,0.25,0.0625,0.1875,0.25031802238871503,0.06255481743592944,0.1877632049527856,0.0014417380057728506,0.1849373984614708,0.19058901144410037,0.7500986271823887,0.0014037597481898108,,1,1,True,0.06255481743592944,0.25031802238871503,-4.187836849904381e-05,-0.0034236108205952425,0.0019947907991954817,0.03104910379897997,0.211625,0.468375,0.49,0.62125,0.0,0.0
