candidate_indices_sha256,channel,crossfit_auc,crossfit_auprc,dataset,independent_mask_difference,label,model,paired_mask_identity,phase,query_total,reference_indices_sha256,replicate,representation_sha256,runtime_sec,scenario,score,seed,severity,severity_index,split,window_size,threshold,alarm
AEAB6033C506EC293DC580F01370DF85E002BAC726771EFF18BF851977DCF712,input,0.9296875,0.9270966423926951,adult,,1,hgb,,full,0,98FD16D636F1C3A8FA7C09E304081C3114FDFE22458435CCE62ED4AD04A2B376,1,5543187E62510777EC3A93F4D031E6AFD9786A3A2CB463AD17F2A65C71AF33CC,0.8903618999756873,gradual,0.859375,0,1.0,5,calibration,16,0.5859375,True
AEAB6033C506EC293DC580F01370DF85E002BAC726771EFF18BF851977DCF712,output,0.9765625,0.9786119711042311,adult,,1,hgb,,full,0,98FD16D636F1C3A8FA7C09E304081C3114FDFE22458435CCE62ED4AD04A2B376,1,83453633EBC6AAA68EB3057A5FBA53072FAEBD0CACA3E09EC6C76535228C770E,0.8903655998874456,gradual,0.953125,0,1.0,5,calibration,16,0.46875,True
70232F37A6CFABD64CC294DE30CEDA73A6014327758E64324653194BC1A4EBC3,explanation_independent,,,adult,True,1,hgb,True,full,4096,50FFC527A793D6222BBB6986778C429B017598DE9E71403F7241270F5E0B5FF9,0,E4E1835833CE2627B751BA58F864FA185D155849AF1D6D3136B9CB55738BBF50,0.9092604001052678,mean_shift,1.3171312578080492,0,0.25,1,calibration,16,0.9527189849109015,True
70232F37A6CFABD64CC294DE30CEDA73A6014327758E64324653194BC1A4EBC3,explanation_paired,,,adult,True,1,hgb,True,full,4096,50FFC527A793D6222BBB6986778C429B017598DE9E71403F7241270F5E0B5FF9,0,AEC553E770609DBA93C04791CEBC11F481750059A2E3D2081A96553FECAC15F4,0.9092634001281112,mean_shift,1.309849632056471,0,0.25,1,calibration,16,0.9527189849109015,True
70232F37A6CFABD64CC294DE30CEDA73A6014327758E64324653194BC1A4EBC3,explanation_shift,0.73828125,0.7569130293585161,adult,,1,hgb,,full,0,50FFC527A793D6222BBB6986778C429B017598DE9E71403F7241270F5E0B5FF9,0,51B3E77EF029DF8A7A14533371D407F6AB48F0E3F25E31705EFCB40AA95F2D72,1.0116544000338763,mean_shift,0.4765625,0,0.25,1,calibration,16,0.4765625,False
70232F37A6CFABD64CC294DE30CEDA73A6014327758E64324653194BC1A4EBC3,input,0.5234375,0.5059689606638857,adult,,1,hgb,,full,0,50FFC527A793D6222BBB6986778C429B017598DE9E71403F7241270F5E0B5FF9,0,394A48AA7EF3525639492C854BC5C2AF6CAEDF3FD175917504A4A90B585FB9EE,1.0116502000018954,mean_shift,0.046875,0,0.25,1,calibration,16,0.5859375,False
70232F37A6CFABD64CC294DE30CEDA73A6014327758E64324653194BC1A4EBC3,output,0.77734375,0.7948515413250321,adult,,1,hgb,,full,0,50FFC527A793D6222BBB6986778C429B017598DE9E71403F7241270F5E0B5FF9,0,CD4D22225E647A7A31BA484619CC2EDE1C9293A8A955B04188200F5E87AF268D,1.0116531001403928,mean_shift,0.5546875,0,0.25,1,calibration,16,0.46875,True
766593887AA2D61660E7E25528015C7E14BECF3F2A8DF28E70C3499ACE8568EF,explanation_independent,,,adult,True,1,hgb,True,full,4096,D55DC5AC29C7910F929C5A306DA1C2169FE4C1290D25C952445661024F68D8A8,1,687E0B7919A6C842B09C8F93F8851C002CA49F48308EF7D49E4D6E0A79CD67EE,0.8140889999922365,mean_shift,1.192828080406275,0,0.25,1,calibration,16,0.9527189849109015,True
766593887AA2D61660E7E25528015C7E14BECF3F2A8DF28E70C3499ACE8568EF,explanation_paired,,,adult,True,1,hgb,True,full,4096,D55DC5AC29C7910F929C5A306DA1C2169FE4C1290D25C952445661024F68D8A8,1,F261982000DE62B6065C08094BF524E3F7978A26B55497EA4C335AD965A151F9,0.8141012999694794,mean_shift,1.2072693402381267,0,0.25,1,calibration,16,0.9527189849109015,True
766593887AA2D61660E7E25528015C7E14BECF3F2A8DF28E70C3499ACE8568EF,explanation_shift,0.80859375,0.7667177303690461,adult,,1,hgb,,full,0,D55DC5AC29C7910F929C5A306DA1C2169FE4C1290D25C952445661024F68D8A8,1,937867182F05CBE32235D55DF500FDEA85DD4162575EF26EB478689405C52AA9,0.93953249999322,mean_shift,0.6171875,0,0.25,1,calibration,16,0.4765625,True
