dataset,model,scenario,severity,seed,method,acc_v2,flip_v2,dconf_v2,ece_v2,mean_conf_v2,stable_frac_v2,expl_time_s_v2,top3_all_v2,top5_all_v2,spearman_all_v2,cosine_all_v2,sign_all_v2,top3_stable_v2,top5_stable_v2,spearman_stable_v2,cosine_stable_v2,sign_stable_v2,acc_legacy,flip_legacy,dconf_legacy,ece_legacy,mean_conf_legacy,stable_frac_legacy,expl_time_s_legacy,top3_all_legacy,top5_all_legacy,spearman_all_legacy,cosine_all_legacy,sign_all_legacy,top3_stable_legacy,top5_stable_legacy,spearman_stable_legacy,cosine_stable_legacy,sign_stable_legacy,key_match_status,delta_acc,delta_flip,delta_dconf,delta_ece,delta_mean_conf,delta_stable_frac,delta_expl_time_s,delta_top3_all,delta_top5_all,delta_spearman_all,delta_cosine_all,delta_sign_all,delta_top3_stable,delta_top5_stable,delta_spearman_stable,delta_cosine_stable,delta_sign_stable,comparison_use
adult,hgb,gradual,0.2,2,pi,0.813485293114038,0.1444072886098409,0.1610691368253538,0.1567695240235453,0.9657480448684044,0.865,1.246394300000247,1.0,0.8,0.9868131868131867,0.9862524191575694,1.0,,,,,,0.813485293114038,0.1444072886098409,0.1610691368253538,0.1567695240235453,0.9657480448684044,0.87,0.7284536361694336,1.0,1.0,0.9384615384615383,0.9860075582123432,1.0,,,,,,both,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.5179406638308135,0.0,-0.19999999999999996,0.0483516483516484,0.000244860945226244,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,2,shap,0.813485293114038,0.1444072886098409,0.1610691368253538,0.1567695240235453,0.9657480448684044,0.865,1.913872000000083,0.675,0.84,0.881912087912088,0.6452075600581818,0.955203823953824,0.6782273603082852,0.8289017341040461,0.880124499777679,0.6569595422515743,0.9544149171316804,0.813485293114038,0.1444072886098409,0.1610691368253538,0.1567695240235453,0.9657480448684044,0.87,1.0830602645874023,0.6766666666666665,0.8490000000000001,0.880087912087912,0.6373114171472741,0.9455838744588746,0.6743295019157087,0.84367816091954,0.8867247694833901,0.6616983556211704,0.9503655189000016,both,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.8308117354126807,-0.0016666666666664831,-0.009000000000000119,0.0018241758241759332,0.007896142910907678,0.009619949494949376,0.003897858392576503,-0.014776426815493848,-0.006600269705711037,-0.00473881336959614,0.004049398231678714,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,3,lime,0.813417047703542,0.1479560499556405,0.1607067435876636,0.1559434561550288,0.9661775859317598,0.88,3.050826300000153,0.7666666666666668,0.7533333333333335,0.7973626373626373,0.9442451388708454,0.8665349465349464,0.7530864197530865,0.7555555555555556,0.7938949938949939,0.9475521802956218,0.8666017110461555,0.813417047703542,0.1479560499556405,0.1607067435876636,0.1559434561550288,0.9661775859317598,0.825,1.3459115028381348,0.6111111111111112,0.5866666666666667,0.4473260073260073,0.8477989960764638,0.6768831168831169,0.5972222222222222,0.5833333333333334,0.4717948717948718,0.8837557528561835,0.6910436785436787,both,0.0,0.0,0.0,0.0,0.0,0.05500000000000005,1.7049147971620182,0.15555555555555567,0.16666666666666685,0.35003663003663005,0.09644614279438157,0.18965182965182958,0.15586419753086433,0.17222222222222228,0.32210012210012207,0.06379642743943836,0.1755580325024768,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,3,pi,0.813417047703542,0.1479560499556405,0.1607067435876636,0.1559434561550288,0.9661775859317598,0.88,1.306845300000532,1.0,1.0,0.9032967032967032,0.98002265537511,1.0,,,,,,0.813417047703542,0.1479560499556405,0.1607067435876636,0.1559434561550288,0.9661775859317598,0.825,1.176116943359375,0.6666666666666666,1.0,0.9648351648351648,0.976384752794769,1.0,,,,,,both,0.0,0.0,0.0,0.0,0.0,0.05500000000000005,0.130728356641157,0.33333333333333337,0.0,-0.06153846153846165,0.0036379025803410237,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,3,shap,0.813417047703542,0.1479560499556405,0.1607067435876636,0.1559434561550288,0.9661775859317598,0.88,1.2673555999999735,0.68,0.8560000000000001,0.902,0.6454710028164448,0.9628248556998557,0.6780303030303031,0.8477272727272727,0.9015234765234764,0.6569257670118991,0.9609346303948576,0.813417047703542,0.1479560499556405,0.1607067435876636,0.1559434561550288,0.9661775859317598,0.825,0.8967080116271973,0.665,0.855,0.8782197802197803,0.5815555779302444,0.953499458874459,0.6626262626262626,0.8533333333333333,0.8807592407592408,0.6111188744452336,0.9553865494774586,both,0.0,0.0,0.0,0.0,0.0,0.05500000000000005,0.3706475883727762,0.015000000000000013,0.001000000000000112,0.023780219780219713,0.06391542488620039,0.009325396825396681,0.015404040404040531,-0.005606060606060614,0.020764235764235583,0.04580689256666548,0.005548080917399001,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,4,lime,0.8138265201665188,0.1489797311130826,0.1678130934110478,0.1631422015572558,0.9735923118691772,0.83,2.4706600999998045,0.7444444444444446,0.7333333333333335,0.7843223443223445,0.9322387791357162,0.9019690494690497,0.75,0.7416666666666667,0.7714285714285715,0.9299278884080636,0.8954456423206424,0.8138265201665188,0.1489797311130826,0.1678130934110478,0.1631422015572558,0.9735923118691772,0.86,0.8437023162841797,0.5555555555555555,0.5733333333333335,0.4706227106227106,0.8369606639795703,0.692163207163207,0.5599999999999999,0.56,0.4695384615384615,0.8675156781338937,0.7125698745698746,both,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,1.6269577837156248,0.1888888888888891,0.16000000000000003,0.3136996336996339,0.09527811515614593,0.20980584230584265,0.19000000000000006,0.18166666666666664,0.30189010989010995,0.06241221027416988,0.18287576775076775,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,4,pi,0.8138265201665188,0.1489797311130826,0.1678130934110478,0.1631422015572558,0.9735923118691772,0.83,0.8675892000010208,0.6666666666666666,1.0,0.9692307692307692,0.9908445888825806,1.0,,,,,,0.8138265201665188,0.1489797311130826,0.1678130934110478,0.1631422015572558,0.9735923118691772,0.86,1.537022829055786,0.6666666666666666,1.0,0.9604395604395608,0.9838589097912436,1.0,,,,,,both,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,-0.6694336290547651,0.0,0.0,0.008791208791208427,0.006985679091337071,0.0,,,,,,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.2,4,shap,0.8138265201665188,0.1489797311130826,0.1678130934110478,0.1631422015572558,0.9735923118691772,0.83,1.0294327000010526,0.6733333333333335,0.8260000000000001,0.8854725274725276,0.6072482343017666,0.9529397546897548,0.6666666666666666,0.8132530120481926,0.8838871971402092,0.6253819856993084,0.9509696795841376,0.8138265201665188,0.1489797311130826,0.1678130934110478,0.1631422015572558,0.9735923118691772,0.86,1.5582191944122314,0.6883333333333332,0.8530000000000001,0.8832967032967034,0.6065746128579281,0.9497655122655124,0.686046511627907,0.8430232558139535,0.8781497572195248,0.6159814787691719,0.9477086059934896,both,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,-0.5287864944111789,-0.014999999999999791,-0.027000000000000024,0.0021758241758241814,0.0006736214438384236,0.0031742424242423573,-0.019379844961240345,-0.029770243765760984,0.005737439920684428,0.009400506930136499,0.003261073590647978,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.4,0,lime,0.8086398689688118,0.1455674605882754,0.1251552841027962,0.1218608389452434,0.927588888316419,0.865,2.895656599999711,0.7666666666666668,0.6266666666666667,0.6899633699633702,0.8978189067637476,0.8269023569023569,0.7530864197530865,0.6296296296296297,0.6784696784696784,0.9074853517711516,0.8223891335002445,0.8086398689688118,0.1455674605882754,0.1251552841027962,0.1218608389452434,0.927588888316419,0.885,1.4552068710327148,0.5888888888888889,0.5866666666666667,0.4734065934065934,0.8354878112821399,0.6698271173271174,0.5952380952380951,0.5928571428571429,0.4767660910518053,0.849506026538761,0.6709686147186148,both,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,1.4404497289669962,0.17777777777777792,0.040000000000000036,0.21655677655677674,0.06233109548160776,0.1570752395752395,0.15784832451499142,0.03677248677248679,0.20170358741787314,0.05797932523239069,0.15142051878162965,descriptive_only_nonpaired_legacy
adult,hgb,gradual,0.4,0,pi,0.8086398689688118,0.1455674605882754,0.1251552841027962,0.1218608389452434,0.927588888316419,0.865,1.0413619000000836,0.6666666666666666,0.8,0.956043956043956,0.9243311134320364,1.0,,,,,,0.8086398689688118,0.1455674605882754,0.1251552841027962,0.1218608389452434,0.927588888316419,0.885,0.7487931251525879,0.6666666666666666,1.0,0.8197802197802198,0.9520066094340938,1.0,,,,,,both,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.29256877484749566,0.0,-0.19999999999999996,0.13626373626373622,-0.02767549600205732,0.0,,,,,,descriptive_only_nonpaired_legacy
