dataset,seed,model,scenario,sev_idx,severity,feature_ks_p_adj,feature_ks_alert,feature_max_std_mean_shift,prediction_ks_p,prediction_ks_alert
adult,1,rf,noise,3,0.5,0.0,True,0.004406901815663565,3.255804035241585e-41,True
adult,1,hgb,noise,3,0.5,0.0,True,0.004406901815663565,3.7099563657626377e-90,True
adult,1,logreg,noise,4,0.75,0.0,True,0.009253838573034844,2.3310565129453693e-23,True
adult,1,rf,noise,4,0.75,0.0,True,0.009253838573034844,1.280521669308256e-99,True
adult,1,hgb,noise,4,0.75,0.0,True,0.009253838573034844,4.0413381754942245e-35,True
adult,1,logreg,noise,5,1.0,0.0,True,0.0159122743541365,4.194273822856322e-52,True
adult,1,rf,noise,5,1.0,0.0,True,0.0159122743541365,8.852367582819559e-167,True
adult,1,hgb,noise,5,1.0,0.0,True,0.0159122743541365,3.490812095848138e-99,True
adult,1,logreg,missing,1,0.1,1.3121699296240734e-14,True,0.020100171271538195,0.1731242686726029,False
adult,1,rf,missing,1,0.1,1.3121699296240734e-14,True,0.020100171271538195,0.3154704700175591,False
adult,1,hgb,missing,1,0.1,1.3121699296240734e-14,True,0.020100171271538195,0.036354316659095054,False
adult,1,logreg,missing,2,0.2,1.488229119188708e-62,True,0.04630535916230921,7.535671742042298e-05,True
adult,1,rf,missing,2,0.2,1.488229119188708e-62,True,0.04630535916230921,0.0009727681965399452,True
adult,1,hgb,missing,2,0.2,1.488229119188708e-62,True,0.04630535916230921,1.7064108543127187e-07,True
adult,1,logreg,missing,3,0.3,2.6627593481311005e-147,True,0.06399028615500253,1.6636006886886656e-11,True
adult,1,rf,missing,3,0.3,2.6627593481311005e-147,True,0.06399028615500253,2.170780854693092e-08,True
adult,1,hgb,missing,3,0.3,2.6627593481311005e-147,True,0.06399028615500253,8.547491065237586e-18,True
adult,1,logreg,missing,4,0.4,2.0001392567008e-272,True,0.08722185861510003,6.021276417537536e-20,True
adult,1,rf,missing,4,0.4,2.0001392567008e-272,True,0.08722185861510003,1.5142939587231372e-16,True
adult,1,hgb,missing,4,0.4,2.0001392567008e-272,True,0.08722185861510003,3.1633306380695455e-34,True
adult,1,logreg,missing,5,0.5,0.0,True,0.10937222457261575,1.7876633122576039e-32,True
adult,1,rf,missing,5,0.5,0.0,True,0.10937222457261575,3.1912957007234533e-25,True
adult,1,hgb,missing,5,0.5,0.0,True,0.10937222457261575,1.0990752440496108e-53,True
adult,1,logreg,quantize,1,32.0,0.0,True,0.06463736663201919,0.05026189149141813,False
adult,1,rf,quantize,1,32.0,0.0,True,0.06463736663201919,6.4840213056591955e-06,True
adult,1,hgb,quantize,1,32.0,0.0,True,0.06463736663201919,0.0,True
adult,1,logreg,quantize,2,16.0,0.0,True,0.13801444686188036,2.0223060332285517e-08,True
adult,1,rf,quantize,2,16.0,0.0,True,0.13801444686188036,1.0103003579168252e-10,True
adult,1,hgb,quantize,2,16.0,0.0,True,0.13801444686188036,0.0,True
adult,1,logreg,quantize,3,8.0,0.0,True,0.2818979543241293,4.82927927602126e-19,True
adult,1,rf,quantize,3,8.0,0.0,True,0.2818979543241293,0.0003619845399612952,True
adult,1,hgb,quantize,3,8.0,0.0,True,0.2818979543241293,0.0,True
adult,1,logreg,quantize,4,4.0,0.0,True,0.5718764352614955,1.0711539934750006e-61,True
adult,1,rf,quantize,4,4.0,0.0,True,0.5718764352614955,7.698240236114916e-18,True
adult,1,hgb,quantize,4,4.0,0.0,True,0.5718764352614955,0.0,True
adult,1,logreg,quantize,5,2.0,0.0,True,1.141031236227217,8.8486747592905e-190,True
adult,1,rf,quantize,5,2.0,0.0,True,1.141031236227217,2.4957597676364965e-183,True
adult,1,hgb,quantize,5,2.0,0.0,True,1.141031236227217,0.0,True
adult,1,logreg,gradual,1,0.2,0.0,True,0.3004254620995237,1.477567607397781e-145,True
adult,1,rf,gradual,1,0.2,0.0,True,0.3004254620995237,9.080496604162921e-26,True
adult,1,hgb,gradual,1,0.2,0.0,True,0.3004254620995237,0.0,True
adult,1,logreg,gradual,2,0.4,0.0,True,0.6008509241990476,0.0,True
adult,1,rf,gradual,2,0.4,0.0,True,0.6008509241990476,1.6154784109421175e-259,True
adult,1,hgb,gradual,2,0.4,0.0,True,0.6008509241990476,0.0,True
adult,1,logreg,gradual,3,0.6,0.0,True,0.9012763862985711,0.0,True
adult,1,rf,gradual,3,0.6,0.0,True,0.9012763862985711,0.0,True
adult,1,hgb,gradual,3,0.6,0.0,True,0.9012763862985711,0.0,True
adult,1,logreg,gradual,4,0.8,0.0,True,1.2017018483980955,0.0,True
adult,1,rf,gradual,4,0.8,0.0,True,1.2017018483980955,0.0,True
adult,1,hgb,gradual,4,0.8,0.0,True,1.2017018483980955,0.0,True
adult,1,logreg,gradual,5,1.0,0.0,True,1.5021273104976185,0.0,True
adult,1,rf,gradual,5,1.0,0.0,True,1.5021273104976185,0.0,True
adult,1,hgb,gradual,5,1.0,0.0,True,1.5021273104976185,0.0,True
adult,2,logreg,mean_shift,1,0.25,0.0,True,0.25000000000000006,9.050151664928534e-117,True
adult,2,rf,mean_shift,1,0.25,0.0,True,0.25000000000000006,5.38895193149217e-20,True
adult,2,hgb,mean_shift,1,0.25,0.0,True,0.25000000000000006,0.0,True
adult,2,logreg,mean_shift,2,0.5,0.0,True,0.5000000000000006,0.0,True
adult,2,rf,mean_shift,2,0.5,0.0,True,0.5000000000000006,1.366072633106388e-101,True
adult,2,hgb,mean_shift,2,0.5,0.0,True,0.5000000000000006,0.0,True
adult,2,logreg,mean_shift,3,1.0,0.0,True,1.0000000000000004,0.0,True
adult,2,rf,mean_shift,3,1.0,0.0,True,1.0000000000000004,0.0,True
adult,2,hgb,mean_shift,3,1.0,0.0,True,1.0000000000000004,0.0,True
adult,2,logreg,mean_shift,4,1.5,0.0,True,1.5000000000000018,0.0,True
adult,2,rf,mean_shift,4,1.5,0.0,True,1.5000000000000018,0.0,True
adult,2,hgb,mean_shift,4,1.5,0.0,True,1.5000000000000018,0.0,True
adult,2,logreg,mean_shift,5,2.0,0.0,True,2.000000000000001,0.0,True
adult,2,rf,mean_shift,5,2.0,0.0,True,2.000000000000001,0.0,True
adult,2,hgb,mean_shift,5,2.0,0.0,True,2.000000000000001,0.0,True
adult,2,logreg,noise,1,0.1,0.0,True,0.0008120803000615946,0.9482653832312884,False
adult,2,rf,noise,1,0.1,0.0,True,0.0008120803000615946,0.31547047001755313,False
adult,2,hgb,noise,1,0.1,0.0,True,0.0008120803000615946,4.718462205217508e-156,True
adult,2,logreg,noise,2,0.25,0.0,True,0.003215279722502531,0.25087146049735387,False
adult,2,rf,noise,2,0.25,0.0,True,0.003215279722502531,5.432862725881063e-06,True
adult,2,hgb,noise,2,0.25,0.0,True,0.003215279722502531,5.864509690842637e-181,True
adult,2,logreg,noise,3,0.5,0.0,True,0.004391482943673644,1.1409438235446411e-07,True
adult,2,rf,noise,3,0.5,0.0,True,0.004391482943673644,1.2972711440924862e-36,True
adult,2,hgb,noise,3,0.5,0.0,True,0.004391482943673644,1.2647115209672965e-107,True
adult,2,logreg,noise,4,0.75,0.0,True,0.011760194568280372,2.194945910525834e-27,True
adult,2,rf,noise,4,0.75,0.0,True,0.011760194568280372,7.683038912966268e-96,True
adult,2,hgb,noise,4,0.75,0.0,True,0.011760194568280372,3.48535866893685e-35,True
adult,2,logreg,noise,5,1.0,0.0,True,0.00801473565566343,2.9994205413667394e-57,True
adult,2,rf,noise,5,1.0,0.0,True,0.00801473565566343,3.148224081505122e-141,True
adult,2,hgb,noise,5,1.0,0.0,True,0.00801473565566343,5.658698354019066e-87,True
adult,2,logreg,missing,1,0.1,3.2950922745835356e-16,True,0.029710854222068133,0.11256621241069131,False
adult,2,rf,missing,1,0.1,3.2950922745835356e-16,True,0.029710854222068133,0.1364881772098624,False
adult,2,hgb,missing,1,0.1,3.2950922745835356e-16,True,0.029710854222068133,0.010911139884079329,False
adult,2,logreg,missing,2,0.2,9.132880829410338e-69,True,0.04737844263406573,1.2272496670086308e-05,True
adult,2,rf,missing,2,0.2,9.132880829410338e-69,True,0.04737844263406573,0.0006722696652165227,True
adult,2,hgb,missing,2,0.2,9.132880829410338e-69,True,0.04737844263406573,1.6337414809307247e-08,True
adult,2,logreg,missing,3,0.3,1.3403803048797497e-151,True,0.06052605010314064,7.313956998741205e-11,True
adult,2,rf,missing,3,0.3,1.3403803048797497e-151,True,0.06052605010314064,1.9151181414351218e-10,True
adult,2,hgb,missing,3,0.3,1.3403803048797497e-151,True,0.06052605010314064,1.142415591399562e-21,True
adult,2,logreg,missing,4,0.4,7.4836028567957885e-258,True,0.08315378532029248,2.6196985515616624e-24,True
adult,2,rf,missing,4,0.4,7.4836028567957885e-258,True,0.08315378532029248,2.2633018802630225e-16,True
adult,2,hgb,missing,4,0.4,7.4836028567957885e-258,True,0.08315378532029248,1.5087670316122563e-36,True
adult,2,logreg,missing,5,0.5,0.0,True,0.11300635314424275,6.17899404195431e-41,True
adult,2,rf,missing,5,0.5,0.0,True,0.11300635314424275,3.058704909377719e-28,True
adult,2,hgb,missing,5,0.5,0.0,True,0.11300635314424275,2.4556310564914554e-60,True
adult,2,logreg,quantize,1,32.0,0.0,True,0.06265584120287275,0.03401790172525232,False
adult,2,rf,quantize,1,32.0,0.0,True,0.06265584120287275,1.826096648795706e-05,True
adult,2,hgb,quantize,1,32.0,0.0,True,0.06265584120287275,0.0,True
adult,2,logreg,quantize,2,16.0,0.0,True,0.13576741439617734,6.389494617949478e-09,True
adult,2,rf,quantize,2,16.0,0.0,True,0.13576741439617734,1.6763671699876013e-09,True
adult,2,hgb,quantize,2,16.0,0.0,True,0.13576741439617734,0.0,True
adult,2,logreg,quantize,3,8.0,0.0,True,0.27920153465417835,8.54749106523795e-18,True
adult,2,rf,quantize,3,8.0,0.0,True,0.27920153465417835,0.05699678486243509,False
adult,2,hgb,quantize,3,8.0,0.0,True,0.27920153465417835,0.0,True
adult,2,logreg,quantize,4,4.0,0.0,True,0.566323323000054,4.20365099629265e-56,True
adult,2,rf,quantize,4,4.0,0.0,True,0.566323323000054,3.0880924617740853e-20,True
adult,2,hgb,quantize,4,4.0,0.0,True,0.566323323000054,0.0,True
adult,2,logreg,quantize,5,2.0,0.0,True,1.128143056028005,7.251323565489936e-203,True
adult,2,rf,quantize,5,2.0,0.0,True,1.128143056028005,5.200083058200893e-142,True
adult,2,hgb,quantize,5,2.0,0.0,True,1.128143056028005,0.0,True
adult,2,logreg,gradual,1,0.2,0.0,True,0.30034175228824755,6.467224834497355e-156,True
adult,2,rf,gradual,1,0.2,0.0,True,0.30034175228824755,5.066409358430624e-22,True
adult,2,hgb,gradual,1,0.2,0.0,True,0.30034175228824755,0.0,True
adult,2,logreg,gradual,2,0.4,0.0,True,0.6006835045764951,0.0,True
adult,2,rf,gradual,2,0.4,0.0,True,0.6006835045764951,7.758321657373506e-163,True
adult,2,hgb,gradual,2,0.4,0.0,True,0.6006835045764951,0.0,True
adult,2,logreg,gradual,3,0.6,0.0,True,0.9010252568647423,0.0,True
adult,2,rf,gradual,3,0.6,0.0,True,0.9010252568647423,0.0,True
adult,2,hgb,gradual,3,0.6,0.0,True,0.9010252568647423,0.0,True
adult,2,logreg,gradual,4,0.8,0.0,True,1.2013670091529902,0.0,True
adult,2,rf,gradual,4,0.8,0.0,True,1.2013670091529902,0.0,True
adult,2,hgb,gradual,4,0.8,0.0,True,1.2013670091529902,0.0,True
adult,2,logreg,gradual,5,1.0,0.0,True,1.501708761441237,0.0,True
adult,2,rf,gradual,5,1.0,0.0,True,1.501708761441237,0.0,True
adult,2,hgb,gradual,5,1.0,0.0,True,1.501708761441237,0.0,True
adult,3,logreg,mean_shift,1,0.25,0.0,True,0.2500000000000006,1.789612769004934e-115,True
adult,3,rf,mean_shift,1,0.25,0.0,True,0.2500000000000006,3.243333337897655e-27,True
adult,3,hgb,mean_shift,1,0.25,0.0,True,0.2500000000000006,0.0,True
adult,3,logreg,mean_shift,2,0.5,0.0,True,0.5000000000000001,0.0,True
adult,3,rf,mean_shift,2,0.5,0.0,True,0.5000000000000001,2.2022290026628008e-100,True
adult,3,hgb,mean_shift,2,0.5,0.0,True,0.5000000000000001,0.0,True
adult,3,logreg,mean_shift,3,1.0,0.0,True,1.0000000000000009,0.0,True
adult,3,rf,mean_shift,3,1.0,0.0,True,1.0000000000000009,0.0,True
adult,3,hgb,mean_shift,3,1.0,0.0,True,1.0000000000000009,0.0,True
adult,3,logreg,mean_shift,4,1.5,0.0,True,1.5000000000000007,0.0,True
adult,3,rf,mean_shift,4,1.5,0.0,True,1.5000000000000007,0.0,True
adult,3,hgb,mean_shift,4,1.5,0.0,True,1.5000000000000007,0.0,True
adult,3,logreg,mean_shift,5,2.0,0.0,True,2.0000000000000004,0.0,True
adult,3,rf,mean_shift,5,2.0,0.0,True,2.0000000000000004,0.0,True
adult,3,hgb,mean_shift,5,2.0,0.0,True,2.0000000000000004,0.0,True
adult,3,logreg,noise,1,0.1,0.0,True,0.0013891545590285002,0.9684844459892068,False
adult,3,rf,noise,1,0.1,0.0,True,0.0013891545590285002,0.18693325034761776,False
adult,3,hgb,noise,1,0.1,0.0,True,0.0013891545590285002,4.7040667691905794e-169,True
adult,3,logreg,noise,2,0.25,0.0,True,0.0034935880193022765,0.3517559293781354,False
adult,3,rf,noise,2,0.25,0.0,True,0.0034935880193022765,4.9201559614654914e-05,True
