dataset,model,seed,budget_instances,budget_samples,scenario,severity,n_explained,method,fit_time_s,pred_base_time_s,pred_time_s,expl_time_s,context_cache_hit,base_cache_hit,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
adult,hgb,0,75,1000,noise,1.0,75,lime,1.7812511920928955,0.247511625289917,0.2569890022277832,2.869431972503662,True,False,0.7092063058759298,0.252371528014741,0.2392423457941619,0.20756644409672775,0.9130093548351728,0.7733333333333333,0.5244444444444444,0.5653333333333334,0.45769963369963385,0.7211287991915672,0.6797147297147297,0.5172413793103449,0.5689655172413793,0.43592269799166355,0.6977441397561693,0.6572016106498865
adult,hgb,0,75,1000,quantize,2.0,75,lime,1.7812511920928955,0.247511625289917,0.2877979278564453,2.738131523132324,True,False,0.7926704429127142,0.16426670306421892,0.1878881779957984,0.19076851629454394,0.983426460706375,0.84,0.6266666666666667,0.6133333333333333,0.5261538461538463,0.872040169034697,0.7272107522107522,0.6137566137566135,0.6158730158730159,0.516971916971917,0.8917541543803886,0.7348943384657669
adult,hgb,0,150,2000,baseline,0.0,150,lime,1.7812511920928955,0.5084409713745117,0.4116060733795166,15.532047748565674,True,False,0.8705384562888145,0.0,0.0,0.009458071601792573,0.8776564011522708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,0,150,2000,gradual,1.0,150,lime,1.7812511920928955,0.5084409713745117,0.3457505702972412,9.865085124969482,True,False,0.3575377055892991,0.640619668327305,0.5764360584023832,0.5293085778927609,0.8405003957228647,0.41333333333333333,0.5466666666666666,0.556,0.45515018315018324,0.8500013245540972,0.7068291523291522,0.5053763440860215,0.5161290322580645,0.360723147819922,0.7509663286956296,0.6470392958296184
adult,hgb,0,150,2000,mean_shift,2.0,150,lime,1.7812511920928955,0.5084409713745117,0.3178544044494629,11.581886053085327,True,False,0.23926840919948134,0.8036579540025933,0.7588359677001136,0.7542435450611209,0.9935021640892122,0.21333333333333335,0.5111111111111112,0.5439999999999999,0.3325421245421245,0.8191634604034258,0.652528527028527,0.49999999999999994,0.525,0.27582417582417584,0.5678395946002335,0.5838345682095682
adult,hgb,0,150,2000,missing,0.5,150,lime,1.7812511920928955,0.5084409713745117,0.39089488983154297,12.369855880737305,True,False,0.8366204872722309,0.07923292158602334,0.07219923037976263,0.02169280928711229,0.8516404140759795,0.9333333333333333,0.6977777777777777,0.6933333333333331,0.6071208791208792,0.9076850503638036,0.777101713101713,0.7,0.6957142857142855,0.60574568288854,0.9196589146828749,0.7749051543694401
adult,hgb,0,150,2000,noise,1.0,150,lime,1.7812511920928955,0.5084409713745117,0.5360095500946045,9.035319089889526,True,False,0.7092063058759298,0.252371528014741,0.2392423457941619,0.20756644409672775,0.9130093548351728,0.7533333333333333,0.6133333333333333,0.6613333333333332,0.534007326007326,0.7769589808889912,0.7450673585673585,0.6253687315634219,0.6672566371681417,0.5251969269668385,0.7563266997962753,0.7395968338446215
adult,hgb,0,150,2000,quantize,2.0,150,lime,1.7812511920928955,0.5084409713745117,0.23099851608276367,13.257670164108276,True,False,0.7926704429127142,0.16426670306421892,0.1878881779957984,0.19076851629454394,0.983426460706375,0.82,0.6933333333333334,0.6546666666666666,0.5920000000000001,0.9086999887996323,0.7774111999111998,0.6856368563685638,0.6504065040650407,0.5817028499955329,0.9339635674922894,0.7808690857471344
adult,hgb,1,30,500,baseline,0.0,30,lime,1.837573766708374,0.136873722076416,0.1590666770935058,2.3342018127441406,False,False,0.8755886166655292,0.0,0.0,0.0096424524558152,0.8783168590876912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,1,30,500,gradual,1.0,30,lime,1.837573766708374,0.136873722076416,0.1301922798156738,2.149897813796997,False,False,0.239609636251962,0.7913055347027912,0.7501386356634471,0.7497391428172652,0.9891086855161948,0.2333333333333333,0.5111111111111111,0.5133333333333333,0.3356776556776557,0.6976415703838267,0.6229884929884931,0.3333333333333333,0.4857142857142857,0.1039246467817896,0.3032988530223974,0.5248323105465963
