dataset,model,scenario,method,explanation_first,monitor,first_alert,explanation_before_monitor,same_as_monitor,after_monitor
bank-marketing,rf,quantize,shap,2,prediction_ks_alert,1,False,False,True
electricity,hgb,gradual,lime,1,feature_ks_alert,1,False,True,False
electricity,hgb,gradual,lime,1,prediction_ks_alert,1,False,True,False
electricity,hgb,gradual,pi,1,feature_ks_alert,1,False,True,False
electricity,hgb,gradual,pi,1,prediction_ks_alert,1,False,True,False
electricity,hgb,gradual,shap,1,feature_ks_alert,1,False,True,False
electricity,hgb,gradual,shap,1,prediction_ks_alert,1,False,True,False
electricity,hgb,mean_shift,lime,1,feature_ks_alert,1,False,True,False
electricity,hgb,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
electricity,hgb,mean_shift,pi,1,feature_ks_alert,1,False,True,False
electricity,hgb,mean_shift,pi,1,prediction_ks_alert,1,False,True,False
electricity,hgb,mean_shift,shap,1,feature_ks_alert,1,False,True,False
electricity,hgb,mean_shift,shap,1,prediction_ks_alert,1,False,True,False
electricity,hgb,missing,lime,1,feature_ks_alert,1,False,True,False
electricity,hgb,missing,lime,1,prediction_ks_alert,1,False,True,False
electricity,hgb,missing,pi,1,feature_ks_alert,1,False,True,False
electricity,hgb,missing,pi,1,prediction_ks_alert,1,False,True,False
electricity,hgb,missing,shap,3,feature_ks_alert,1,False,False,True
electricity,hgb,missing,shap,3,prediction_ks_alert,1,False,False,True
electricity,hgb,noise,lime,1,feature_ks_alert,1,False,True,False
electricity,hgb,noise,lime,1,prediction_ks_alert,1,False,True,False
electricity,hgb,noise,pi,1,feature_ks_alert,1,False,True,False
electricity,hgb,noise,pi,1,prediction_ks_alert,1,False,True,False
electricity,hgb,noise,shap,1,feature_ks_alert,1,False,True,False
electricity,hgb,noise,shap,1,prediction_ks_alert,1,False,True,False
electricity,hgb,quantize,lime,1,feature_ks_alert,1,False,True,False
electricity,hgb,quantize,lime,1,prediction_ks_alert,1,False,True,False
electricity,hgb,quantize,pi,2,feature_ks_alert,1,False,False,True
electricity,hgb,quantize,pi,2,prediction_ks_alert,1,False,False,True
electricity,hgb,quantize,shap,1,feature_ks_alert,1,False,True,False
electricity,hgb,quantize,shap,1,prediction_ks_alert,1,False,True,False
electricity,logreg,gradual,lime,1,feature_ks_alert,1,False,True,False
electricity,logreg,gradual,lime,1,prediction_ks_alert,1,False,True,False
electricity,logreg,gradual,pi,6,feature_ks_alert,1,False,False,True
electricity,logreg,gradual,pi,6,prediction_ks_alert,1,False,False,True
electricity,logreg,gradual,shap,1,feature_ks_alert,1,False,True,False
electricity,logreg,gradual,shap,1,prediction_ks_alert,1,False,True,False
electricity,logreg,mean_shift,lime,1,feature_ks_alert,1,False,True,False
electricity,logreg,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
electricity,logreg,mean_shift,pi,6,feature_ks_alert,1,False,False,True
electricity,logreg,mean_shift,pi,6,prediction_ks_alert,1,False,False,True
electricity,logreg,mean_shift,shap,1,feature_ks_alert,1,False,True,False
electricity,logreg,mean_shift,shap,1,prediction_ks_alert,1,False,True,False
electricity,logreg,missing,lime,1,feature_ks_alert,1,False,True,False
electricity,logreg,missing,lime,1,prediction_ks_alert,1,False,True,False
electricity,logreg,missing,pi,2,feature_ks_alert,1,False,False,True
electricity,logreg,missing,pi,2,prediction_ks_alert,1,False,False,True
electricity,logreg,missing,shap,6,feature_ks_alert,1,False,False,True
electricity,logreg,missing,shap,6,prediction_ks_alert,1,False,False,True
electricity,logreg,noise,lime,1,feature_ks_alert,1,False,True,False
electricity,logreg,noise,lime,1,prediction_ks_alert,2,True,False,False
electricity,logreg,noise,pi,3,feature_ks_alert,1,False,False,True
