arm,dataset,split,model,scenario,window,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E2,adult,14,hgb,mean_shift,8,E2-adult-14-hgb-mean_shift-8,ks_complement,512,0.00011466953852219314,0.0004119902712131511,4.420401089848953e-06,-2.92954140564066e-06,0.00011759907992783381,0.062499999999999986,0.00011735349655697285,0.00042163332561909173,1.1820316739052975e-05,4.7847714178583174e-06,0.00011256872513911452,0.14999999999999997,0.2783306950053358,-2.3573368082060873e-06,-3.2662122657362945e-07,6.776263578034403e-21
E2,adult,14,hgb,mean_shift,8,E2-adult-14-hgb-mean_shift-8,leverage,512,5.979553643647198e-05,0.0002148362990841727,2.691506889384048e-06,-1.1154284137551472e-06,6.0910964850227124e-05,0.09999999999999998,5.813925920912424e-05,0.0002088855460516479,3.7356965410421726e-06,1.0879236317003472e-07,5.8030466845954207e-05,0.03749999999999999,0.2783306950053358,-1.6460908138846764e-06,3.30236804123237e-06,4.616329562535937e-20
E2,electricity,14,hgb,mean_shift,8,E2-electricity-14-hgb-mean_shift-8,ks_complement,128,0.00015883155291386287,0.0005218013671182021,1.0620421176683834e-05,7.396790608718956e-07,0.00015809187385299101,0.03749999999999999,0.00017316178434657062,0.0005688797606459813,5.407333299010467e-06,-5.776296770826875e-06,0.00017893808111739748,0.07499999999999998,0.304390833222718,-3.192507569902294e-05,1.7594844266315233e-05,-4.0657581468206416e-20
E2,electricity,14,hgb,mean_shift,8,E2-electricity-14-hgb-mean_shift-8,leverage,128,3.9067941812822294e-05,0.00012834795778569617,1.7132777767799285e-06,-7.770331589562292e-07,3.984497497177852e-05,0.012499999999999997,3.614384400945113e-05,0.00011874156533158556,4.301240240373464e-06,2.1783999891016203e-06,3.3965444020349505e-05,0.0,0.304390833222718,-3.0943700855659025e-06,6.018467888937009e-06,5.759824041329242e-20
E2,adult,14,hgb,mean_shift,9,E2-adult-14-hgb-mean_shift-9,ks_complement,512,8.240161982722515e-05,0.0001813473184957002,4.08961309041038e-06,-1.131187358710606e-06,8.353280718593578e-05,0.12499999999999997,0.00012327134772523892,0.00027129234114809395,4.896327932925235e-06,-2.99534005322901e-06,0.00012626668777846793,0.13749999999999998,0.4543856535114906,-1.0549148069792637e-05,-3.0320579828221157e-05,2.0328790734103208e-20
E2,adult,14,hgb,mean_shift,9,E2-adult-14-hgb-mean_shift-9,leverage,512,4.8664208598796595e-05,0.00010709891085407247,3.2287082292858094e-06,1.9967487131842422e-07,4.8464533727478164e-05,0.09999999999999998,6.480469917665968e-05,0.00014262047816837793,3.2105505034661328e-06,-8.95726074746771e-07,6.570042525140646e-05,0.07499999999999998,0.4543856535114906,2.2359710575549648e-06,-1.837646163541813e-05,7.792703114739563e-20
E2,electricity,14,hgb,mean_shift,9,E2-electricity-14-hgb-mean_shift-9,ks_complement,128,0.00015236691078467275,0.00042723245777779076,9.648460775008108e-07,-9.128624902977319e-06,0.00016149553568765008,0.08749999999999998,0.0001752454256909451,0.0004913831588937696,7.88414940521811e-06,-3.2732690138303555e-06,0.00017851869470477544,0.07499999999999998,0.35663702045765633,-2.7165111690052093e-05,4.286596783779612e-06,1.3637230450794235e-19
E2,electricity,14,hgb,mean_shift,9,E2-electricity-14-hgb-mean_shift-9,leverage,128,3.6596481068273975e-05,0.00010261548568713184,2.345358269767679e-06,6.19500832005921e-08,3.653453098507339e-05,0.04999999999999999,4.516927845568821e-05,0.00012665336424615844,3.52855839330756e-06,7.525103891488498e-07,4.441676806653936e-05,0.024999999999999994,0.35663702045765633,2.479249699641643e-06,-1.1052047087055831e-05,-4.573977915173222e-20
E2,adult,14,hgb,mean_shift,10,E2-adult-14-hgb-mean_shift-10,ks_complement,512,6.805868309945317e-05,0.00016175227577371214,5.54378065339463e-06,1.376120490324061e-06,6.668256260912911e-05,0.062499999999999986,7.269652414784071e-05,0.00017277484203696462,6.337694021720105e-06,1.913772013312064e-06,7.078275213452865e-05,0.062499999999999986,0.42075873599865615,-4.960248908455257e-06,3.224078600676506e-07,6.606856988583543e-20
E2,adult,14,hgb,mean_shift,10,E2-adult-14-hgb-mean_shift-10,leverage,512,4.1963173262542285e-05,9.973214973883824e-05,2.7639966875474802e-06,1.5071824921449385e-07,4.181245501332778e-05,0.04999999999999999,4.5754678777307395e-05,0.00010874326511298752,2.9580496905911485e-06,1.0494108481006504e-07,4.5649737692497335e-05,0.04999999999999999,0.42075873599865615,-1.688436180539492e-06,-2.1030693342256112e-06,-6.776263578034403e-21
E2,electricity,14,hgb,mean_shift,10,E2-electricity-14-hgb-mean_shift-10,ks_complement,128,0.00012295187530280875,0.0004018200121996017,7.580245312476997e-06,-1.1119668687845187e-07,0.00012306307198968719,0.13749999999999998,0.0001968840847109981,0.000643438460175104,1.6549306202850944e-05,4.52698763564113e-06,0.00019235709707535702,0.12499999999999997,0.305987436090498,-8.806376883612882e-06,-6.51258325245764e-05,-6.776263578034403e-20
E2,electricity,14,hgb,mean_shift,10,E2-electricity-14-hgb-mean_shift-10,leverage,128,3.3328314955315304e-05,0.00010892053406224893,1.5954812715152677e-06,-5.200409740714014e-07,3.3848355929386704e-05,0.09999999999999998,4.486041288937128e-05,0.00014660867603761185,1.188095733514244e-06,-1.723392076876225e-06,4.6583804966247505e-05,0.13749999999999996,0.305987436090498,7.511756907207336e-06,-1.904385484126332e-05,6.776263578034403e-21
E2,adult,14,hgb,mean_shift,11,E2-adult-14-hgb-mean_shift-11,ks_complement,512,0.00011399822436685588,0.0003525906973350311,8.383932168410303e-06,1.342979355180597e-06,0.0001126552450116753,0.0,0.00011285549260525244,0.00034905628624285455,7.47833643105165e-06,4.531926861049297e-07,0.00011240229991914753,0.0,0.3233160296867814,7.351461583780794e-06,-6.208729822177406e-06,5.590417451878382e-20
E2,adult,14,hgb,mean_shift,11,E2-adult-14-hgb-mean_shift-11,leverage,512,5.280690757097861e-05,0.00016332907348310665,2.1302335720287794e-06,-1.2482113612345428e-06,5.4055118932213155e-05,0.0,5.9588345467277e-05,0.0001843037152380114,3.473414234345441e-06,-2.675811811833297e-07,5.985592664846033e-05,0.0,0.3233160296867814,2.287760393476934e-06,-9.06919828977526e-06,-5.929230630780102e-20
E2,electricity,14,hgb,mean_shift,11,E2-electricity-14-hgb-mean_shift-11,ks_complement,128,0.00016871317939298763,0.0009052310686760433,9.530902390196118e-06,-1.081249409989984e-06,0.00016979442880297763,0.08749999999999998,0.00018144601452832064,0.0009735491336802314,8.74820633751359e-06,-2.764980875206881e-06,0.00018421099540352753,0.12499999999999997,0.18637581633133862,1.0448013916353176e-05,-2.318084905168615e-05,-3.7269449679189215e-20
E2,electricity,14,hgb,mean_shift,11,E2-electricity-14-hgb-mean_shift-11,leverage,128,2.925733090268586e-05,0.00015698029647082657,2.4435874442401283e-06,6.560045470104132e-07,2.860132635567544e-05,0.012499999999999997,2.412302621284098e-05,0.00012943216930009366,1.373557501340188e-06,-1.4307374609319798e-07,2.4266099958934177e-05,0.0,0.18637581633133862,4.425523495791916e-06,7.087811940529812e-07,-1.7893571010747095e-20
E2,adult,14,logreg,null,0,E2-adult-14-logreg-null-0,ks_complement,512,3.7745814960117713e-06,4.907431708733588e-05,2.1115559299655204e-07,-2.6406133871129246e-08,3.8009876298829006e-06,0.012499999999999997,4.073830355550372e-06,5.296492944702068e-05,2.2082763078615632e-07,-3.6039217531458053e-08,4.10986957308183e-06,0.012499999999999997,0.07691561941237568,-1.918839660414123e-07,-1.0736489349718907e-07,3.044024654195142e-22
E2,adult,14,logreg,null,0,E2-adult-14-logreg-null-0,leverage,512,1.940091551027497e-06,2.5223635535272533e-05,3.7734663041751487e-08,-8.908912949063153e-08,2.029180680518128e-06,0.012499999999999997,2.0815320958655944e-06,2.7062540895701048e-05,6.781170887309394e-08,-6.643631692640607e-08,2.147968412792e-06,0.012499999999999997,0.07691561941237568,-5.391469090410974e-08,-8.75258539339878e-08,2.117582368135751e-22
