arm,dataset,split,model,scenario,instance,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E1,adult,11,logreg,mean_shift,0,E1-adult-11-logreg-mean_shift-0,poly3,1024,9.610868794320682e-05,0.00034566746827657075,7.799893372075926e-05,7.741474810068031e-05,1.869393984252653e-05,0.0,0.00010642243475476815,0.0003827622078375217,8.658713295043048e-05,8.594728450512926e-05,2.047515024963887e-05,0.0,0.2780379895811012,-1.1840807428152674e-05,1.527060616591362e-06,-1.8211208365967457e-20
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,ks_iid,128,6.254531807397903e-05,0.00012238511019260713,2.973122239508636e-06,1.0514385029128164e-06,6.149387957106623e-05,0.03749999999999999,6.142577470239313e-05,0.00012019445159311163,3.3208946839773207e-06,1.4465437156413267e-06,5.997923098675181e-05,0.03749999999999999,0.5110533297355088,-1.106609714505549e-05,1.2185640516641395e-05,-5.082197683525802e-21
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,ks_iid,192,5.0052730035341804e-05,9.79403266215801e-05,8.097202889129872e-07,-7.787638964556841e-07,5.083149393179748e-05,0.03749999999999999,4.6920386523371305e-05,9.181113553776187e-05,8.538074505102009e-07,-6.322112292595121e-07,4.7552597752630815e-05,0.04999999999999999,0.5110533297355088,-6.19565917604428e-06,9.328002688014773e-06,6.776263578034403e-21
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,ks_complement,128,1.6399859077694788e-06,3.209030863018228e-06,1.4953742110425634e-08,-3.746665033018899e-08,1.677452558099668e-06,0.0,1.448762014436253e-06,2.8348548578796016e-06,1.2295488256526717e-07,8.018691056942892e-08,1.3685751038668242e-06,0.0,0.5110533297355088,2.3267975959844602e-07,-4.14558662652202e-08,3.3087224502121107e-23
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,ks_complement,192,1.1212755388086845e-06,2.1940480054967866e-06,2.733123583412265e-08,-7.957290068282565e-09,1.1292328288769669e-06,0.0,1.2328148835971173e-06,2.4123018320517546e-06,2.1882437936599717e-08,-1.7179899020191174e-08,1.2499947826173085e-06,0.0,0.5110533297355088,-7.260533760983807e-08,-3.8934007178595e-08,2.9116757561866574e-22
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,leverage,128,4.238369715001263e-07,8.293400059040403e-07,4.201379693493605e-09,-9.335252300268741e-09,4.3317222380039507e-07,0.0,3.747954606367617e-07,7.333783752680643e-07,5.740275517969666e-09,-6.164730453604271e-09,3.8096019109036597e-07,0.0,0.5110533297355088,4.410457128430519e-08,4.936939579059295e-09,9.843449289381029e-23
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,leverage,192,1.1127395656168766e-07,2.1773453001328947e-07,1.8673187250937267e-09,-1.661927656731884e-09,1.1293588421841954e-07,0.0,1.1178257150184875e-07,2.1872975871168055e-07,1.2867737161546327e-09,-2.2776068575774353e-09,1.1406017835942618e-07,0.0,0.5110533297355088,-2.6541087753667343e-09,2.145493835205725e-09,-8.437242248040882e-23
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,poly3,128,2.5715031966534065e-05,5.031770750783026e-05,1.2833139657427072e-05,1.2417594744230073e-05,1.3297437222303992e-05,0.012499999999999997,2.322551853729566e-05,4.544636965640323e-05,1.2761281709945934e-05,1.2423725683257232e-05,1.0801792854038432e-05,0.0,0.5110533297355088,4.183333946492968e-07,2.0711800345891054e-06,1.6940658945086007e-21
E1,electricity,11,logreg,mean_shift,0,E1-electricity-11-logreg-mean_shift-0,poly3,192,2.556540306255545e-06,5.002492220486383e-06,9.12721080411101e-07,8.596946537709576e-07,1.6968456524845873e-06,0.0,2.1856647967233508e-06,4.2767841819062655e-06,7.075465418096312e-07,6.598653077801564e-07,1.5257994889431942e-06,0.0,0.5110533297355088,9.934717915243363e-08,2.7152833037976084e-07,-1.5881867761018131e-22
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,ks_iid,512,0.0005089391842490749,0.001091276528802392,1.6836669448510396e-05,9.623947775244441e-07,0.0005079767894715505,0.031249999999999993,0.0005491349458414575,0.001177465001886509,1.2746567072378456e-05,-4.55628385565635e-06,0.0005536912296971138,0.03749999999999999,0.46637050354927356,-1.2442427801970695e-06,-3.895151881218561e-05,6.776263578034403e-20
