dataset,split,model,scenario,method,budget,v_exact,same_position_instances,v_mc_crn,v_mean_adjusted_crn,v_mc_independent,v_mean_adjusted_independent,window_share_crn
adult,12,hgb,mean_shift,leverage,512,0.016982638975267604,0,4.768542699660596e-05,0.01697872750910774,4.809133846361227e-05,0.01702826069067605,0.9971999695443108
adult,12,hgb,null,ks_complement,512,0.02199829565330007,0,3.340616295387118e-05,0.021974806828894394,3.5276858688589735e-05,0.02197399917113905,0.9984837229900585
adult,12,hgb,null,leverage,512,0.02199829565330007,0,1.652331989682986e-05,0.022013638212075654,1.723741629043855e-05,0.02198742017608715,0.9992494455704157
adult,12,logreg,mean_shift,ks_complement,512,0.015835800993007913,0,4.4707301754198245e-05,0.015829894738600706,4.850086220150741e-05,0.015775726930562315,0.9971847688421317
adult,12,logreg,mean_shift,leverage,512,0.015835800993007913,0,2.4188742264562416e-05,0.015814053871359385,2.3997862128904932e-05,0.015866247393707098,0.9984748576343169
adult,12,logreg,null,ks_complement,512,0.019091956549705785,0,8.623947549466211e-06,0.019081611689771044,9.21076335866648e-06,0.019069458006747992,0.9995484981437761
adult,12,logreg,null,leverage,512,0.019091956549705785,0,4.63426058148363e-06,0.01908913037865576,4.4613687993297594e-06,0.019110279813640968,0.9997573252405353
adult,13,hgb,mean_shift,ks_complement,512,0.021005881508610307,0,8.832164921751773e-05,0.020970862252328203,9.31974390883585e-05,0.021041815064498905,0.9958129895423548
adult,13,hgb,mean_shift,leverage,512,0.021005881508610307,0,4.364445763066341e-05,0.0210139952590064,4.890975583831829e-05,0.020983464380416116,0.9979265823990212
adult,13,hgb,null,ks_complement,512,0.021850653012743894,1,6.41512216601919e-05,0.021835038912677573,7.774545169418402e-05,0.021872845336522728,0.9970726993052723
adult,13,hgb,null,leverage,512,0.021850653012743894,1,3.343347704095738e-05,0.021864038883709594,3.939448400265497e-05,0.02188232838597957,0.9984722470797872
adult,13,logreg,mean_shift,ks_complement,512,0.015517487120265355,0,3.7385159038418016e-05,0.015575091385344696,3.861802987157377e-05,0.015535975839789235,0.997596562776786
adult,13,logreg,mean_shift,leverage,512,0.015517487120265355,0,2.086443252070249e-05,0.015532282486426968,1.903243638390262e-05,0.01552507202822477,0.9986572299867317
adult,13,logreg,null,ks_complement,512,0.01631711010334103,1,9.294080826499552e-06,0.01632847193623879,9.374511745310348e-06,0.01633590631894837,0.999430733141134
adult,13,logreg,null,leverage,512,0.01631711010334103,1,4.871152986547881e-06,0.016313436324936058,4.8647617151790625e-06,0.016317968030526757,0.9997015587194932
adult,14,hgb,mean_shift,ks_complement,512,0.014003523625555495,0,8.700771045633771e-05,0.014019888206908283,0.00010072070888716429,0.013981014457514021,0.9938250937185052
adult,14,hgb,mean_shift,leverage,512,0.014003523625555495,0,4.334813104600661e-05,0.014013788302407947,5.1868405451647725e-05,0.013976737700611093,0.9969140366768399
adult,14,hgb,null,ks_complement,512,0.022626594531886736,0,5.75459633953531e-05,0.02268645485176929,6.981326903461372e-05,0.022643457893258733,0.9974631631554512
adult,14,hgb,null,leverage,512,0.022626594531886736,0,2.8309504164742374e-05,0.022598923397358663,3.352625442511468e-05,0.02267838814979875,0.9987504028214071
adult,14,logreg,mean_shift,ks_complement,512,0.016206635346916052,0,5.383786181846725e-05,0.016176085259790977,5.352506431433148e-05,0.01628854523069725,0.9966890347453389
adult,14,logreg,mean_shift,leverage,512,0.016206635346916052,0,2.923686508404226e-05,0.01621074253308151,2.842247462738105e-05,0.016208788260221586,0.9981992427199302
adult,14,logreg,null,ks_complement,512,0.01675173957558591,0,7.940269567836921e-06,0.0167625648851807,9.232008408654707e-06,0.016740479537168857,0.9995262278491475
adult,14,logreg,null,leverage,512,0.01675173957558591,0,4.088577575640255e-06,0.016766160066412704,5.011629391113604e-06,0.016768329052516153,0.9997559907192729
electricity,10,hgb,mean_shift,ks_complement,128,0.03860184349008429,0,0.0002903202470938664,0.038330267774899965,0.0004670987192499938,0.03841010341792246,0.9925352508269849
electricity,10,hgb,mean_shift,leverage,128,0.03860184349008429,0,6.74003169499299e-05,0.03873607901154076,9.0422924572337e-05,0.03883801947532479,0.9982570045257088
electricity,10,hgb,null,ks_complement,128,0.09105566814307303,0,0.0002322633920263396,0.09146609719274364,0.00031179320818297015,0.09174578331049393,0.9974557053914949
electricity,10,hgb,null,leverage,128,0.09105566814307303,0,5.769339047985979e-05,0.091164448298527,6.837164273548533e-05,0.09113594343871442,0.9993667955005852
electricity,10,logreg,mean_shift,ks_complement,128,0.012465471317476825,0,4.533247614764967e-06,0.012472643618170314,5.024039246062829e-06,0.012451608958282801,0.9996364678464148
electricity,10,logreg,mean_shift,leverage,128,0.012465471317476825,0,1.121339467178106e-06,0.012457350720824791,1.109353295162011e-06,0.012447644037509335,0.9999100524499328
electricity,10,logreg,null,ks_complement,128,0.03487745812601786,0,1.4823843231511507e-06,0.03486978233943334,1.5385426430978482e-06,0.034858060586576874,0.999957499158476
electricity,10,logreg,null,leverage,128,0.03487745812601786,0,4.044583181108035e-07,0.03487601638015601,3.945737231936214e-07,0.03486907555111968,0.9999884035807203
electricity,11,hgb,mean_shift,ks_complement,128,0.024503891487915777,0,0.0003340575203278666,0.024179685776110446,0.0004102017324343485,0.02479869182996703,0.9865505191182656
electricity,11,hgb,mean_shift,leverage,128,0.024503891487915777,0,6.440662131146156e-05,0.02458422314645564,7.941115216288535e-05,0.024610512625791472,0.9973784663054349
electricity,11,hgb,null,ks_complement,128,0.04725272108074855,0,0.00022383304367552595,0.047169955144193816,0.0002728031758113271,0.047197484577975096,0.995285398281246
electricity,11,hgb,null,leverage,128,0.04725272108074855,0,4.157923836186879e-05,0.04731203881373974,4.967981675026009e-05,0.047234536300237204,0.9991208403955377
electricity,11,logreg,mean_shift,ks_complement,128,0.010210394713575039,0,5.5930894984069e-06,0.010226653076007258,5.199999932080172e-06,0.010209771552486773,0.9994525160360191
electricity,11,logreg,mean_shift,leverage,128,0.010210394713575039,0,1.26454563257587e-06,0.01021959447193801,1.1281272291025385e-06,0.01022009887725899,0.9998761664876904
electricity,11,logreg,null,ks_complement,128,0.01859454115035074,0,1.7392962427046212e-06,0.018595529057018906,1.6757273549168691e-06,0.018598650501884136,0.9999064707457118
electricity,11,logreg,null,leverage,128,0.01859454115035074,0,3.548719988638722e-07,0.018596522262987497,3.921789776194631e-07,0.018586943023651114,0.999980915623382
electricity,12,hgb,mean_shift,ks_complement,128,0.024087834668774795,0,0.0002609055410289702,0.023911664066355514,0.00028711585254553,0.023986599041245345,0.9892846390088009
electricity,12,hgb,mean_shift,leverage,128,0.024087834668774795,0,6.46099171419401e-05,0.024177344151672445,6.904033925490974e-05,0.02406810150694,0.9973249118981682
electricity,12,hgb,null,ks_complement,128,0.05010503323135964,0,0.00018318425125803367,0.05021551919480871,0.0002447314448536286,0.05010586756729514,0.9963573126981216
electricity,12,hgb,null,leverage,128,0.05010503323135964,0,4.167676000069287e-05,0.0500082022260038,4.9247355965334064e-05,0.04988833010889509,0.9991689034034761
