dataset,model,scenario,method,sev_idx,top5_instability_seed_mean
bank-marketing,hgb,mean_shift,shap,1,0.20300000000000007
bank-marketing,hgb,mean_shift,shap,2,0.25140000000000007
bank-marketing,hgb,mean_shift,shap,3,0.2852
bank-marketing,hgb,mean_shift,shap,4,0.30600000000000005
bank-marketing,hgb,mean_shift,shap,5,0.3358000000000001
bank-marketing,hgb,missing,lime,1,0.053333333333333344
bank-marketing,hgb,missing,lime,2,0.09599999999999986
bank-marketing,hgb,missing,lime,3,0.13733333333333309
bank-marketing,hgb,missing,lime,4,0.1439999999999999
bank-marketing,hgb,missing,lime,5,0.17999999999999994
bank-marketing,hgb,missing,pi,1,0.11999999999999988
bank-marketing,hgb,missing,pi,2,0.040000000000000036
bank-marketing,hgb,missing,pi,3,0.15999999999999992
bank-marketing,hgb,missing,pi,4,0.15999999999999992
bank-marketing,hgb,missing,pi,5,0.19999999999999996
bank-marketing,hgb,missing,shap,1,0.05679999999999996
bank-marketing,hgb,missing,shap,2,0.10180000000000011
bank-marketing,hgb,missing,shap,3,0.14300000000000002
bank-marketing,hgb,missing,shap,4,0.1816000000000001
bank-marketing,hgb,missing,shap,5,0.20679999999999998
bank-marketing,hgb,noise,lime,1,0.10266666666666657
bank-marketing,hgb,noise,lime,2,0.1413333333333332
bank-marketing,hgb,noise,lime,3,0.22133333333333316
bank-marketing,hgb,noise,lime,4,0.22799999999999987
bank-marketing,hgb,noise,lime,5,0.31599999999999984
bank-marketing,hgb,noise,pi,1,0.08000000000000007
bank-marketing,hgb,noise,pi,2,0.19999999999999996
bank-marketing,hgb,noise,pi,3,0.24
bank-marketing,hgb,noise,pi,4,0.32000000000000006
bank-marketing,hgb,noise,pi,5,0.28
bank-marketing,hgb,noise,shap,1,0.16379999999999995
bank-marketing,hgb,noise,shap,2,0.2300000000000001
bank-marketing,hgb,noise,shap,3,0.2812000000000001
bank-marketing,hgb,noise,shap,4,0.3108000000000001
bank-marketing,hgb,noise,shap,5,0.3278000000000001
bank-marketing,hgb,quantize,lime,1,0.08133333333333326
bank-marketing,hgb,quantize,lime,2,0.09066666666666667
bank-marketing,hgb,quantize,lime,3,0.1359999999999999
bank-marketing,hgb,quantize,lime,4,0.19199999999999984
bank-marketing,hgb,quantize,lime,5,0.2826666666666666
bank-marketing,hgb,quantize,pi,1,0.08000000000000007
bank-marketing,hgb,quantize,pi,2,0.19999999999999996
bank-marketing,hgb,quantize,pi,3,0.19999999999999996
bank-marketing,hgb,quantize,pi,4,0.19999999999999996
bank-marketing,hgb,quantize,pi,5,0.19999999999999996
bank-marketing,hgb,quantize,shap,1,0.12919999999999998
bank-marketing,hgb,quantize,shap,2,0.17680000000000007
bank-marketing,hgb,quantize,shap,3,0.24439999999999995
bank-marketing,hgb,quantize,shap,4,0.31940000000000013
bank-marketing,hgb,quantize,shap,5,0.35060000000000013
bank-marketing,logreg,gradual,lime,1,0.016000000000000014
bank-marketing,logreg,gradual,lime,2,0.040000000000000036
bank-marketing,logreg,gradual,lime,3,0.04400000000000015
bank-marketing,logreg,gradual,lime,4,0.06666666666666665
bank-marketing,logreg,gradual,lime,5,0.08399999999999996
bank-marketing,logreg,gradual,pi,1,0.0
bank-marketing,logreg,gradual,pi,2,0.0
bank-marketing,logreg,gradual,pi,3,0.0
bank-marketing,logreg,gradual,pi,4,0.0
bank-marketing,logreg,gradual,pi,5,0.040000000000000036
bank-marketing,logreg,gradual,shap,1,0.0484
bank-marketing,logreg,gradual,shap,2,0.05879999999999996
bank-marketing,logreg,gradual,shap,3,0.057800000000000074
bank-marketing,logreg,gradual,shap,4,0.04700000000000004
bank-marketing,logreg,gradual,shap,5,0.03720000000000001
bank-marketing,logreg,mean_shift,lime,1,0.012000000000000122
bank-marketing,logreg,mean_shift,lime,2,0.029333333333333322
bank-marketing,logreg,mean_shift,lime,3,0.06533333333333324
bank-marketing,logreg,mean_shift,lime,4,0.07866666666666666
bank-marketing,logreg,mean_shift,lime,5,0.11733333333333318
bank-marketing,logreg,mean_shift,pi,1,0.0
bank-marketing,logreg,mean_shift,pi,2,0.0
bank-marketing,logreg,mean_shift,pi,3,0.0
bank-marketing,logreg,mean_shift,pi,4,0.0
bank-marketing,logreg,mean_shift,pi,5,0.0
bank-marketing,logreg,mean_shift,shap,1,0.04480000000000006
bank-marketing,logreg,mean_shift,shap,2,0.06379999999999997
bank-marketing,logreg,mean_shift,shap,3,0.03820000000000001
bank-marketing,logreg,mean_shift,shap,4,0.02520000000000011
bank-marketing,logreg,mean_shift,shap,5,0.03200000000000003
bank-marketing,logreg,missing,lime,1,0.002666666666666706
bank-marketing,logreg,missing,lime,2,0.006666666666666599
bank-marketing,logreg,missing,lime,3,0.008000000000000007
bank-marketing,logreg,missing,lime,4,0.016000000000000014
bank-marketing,logreg,missing,lime,5,0.02400000000000002
bank-marketing,logreg,missing,pi,1,0.0
bank-marketing,logreg,missing,pi,2,0.08000000000000007
bank-marketing,logreg,missing,pi,3,0.0
bank-marketing,logreg,missing,pi,4,0.040000000000000036
bank-marketing,logreg,missing,pi,5,0.08000000000000007
bank-marketing,logreg,missing,shap,1,0.00979999999999992
bank-marketing,logreg,missing,shap,2,0.01739999999999997
bank-marketing,logreg,missing,shap,3,0.02400000000000002
bank-marketing,logreg,missing,shap,4,0.03599999999999992
bank-marketing,logreg,missing,shap,5,0.04280000000000006
bank-marketing,logreg,noise,lime,1,0.002666666666666706
bank-marketing,logreg,noise,lime,2,0.010666666666666602
bank-marketing,logreg,noise,lime,3,0.0173333333333332
bank-marketing,logreg,noise,lime,4,0.041333333333333444
bank-marketing,logreg,noise,lime,5,0.04399999999999993
bank-marketing,logreg,noise,pi,1,0.0
bank-marketing,logreg,noise,pi,2,0.0
bank-marketing,logreg,noise,pi,3,0.040000000000000036
bank-marketing,logreg,noise,pi,4,0.040000000000000036
bank-marketing,logreg,noise,pi,5,0.040000000000000036
bank-marketing,logreg,noise,shap,1,0.03179999999999994
bank-marketing,logreg,noise,shap,2,0.05740000000000001
bank-marketing,logreg,noise,shap,3,0.08940000000000003
bank-marketing,logreg,noise,shap,4,0.11039999999999994
bank-marketing,logreg,noise,shap,5,0.12240000000000006
bank-marketing,logreg,quantize,lime,1,0.0039999999999998925
bank-marketing,logreg,quantize,lime,2,0.0039999999999998925
bank-marketing,logreg,quantize,lime,3,0.010666666666666602
bank-marketing,logreg,quantize,lime,4,0.021333333333333315
bank-marketing,logreg,quantize,lime,5,0.04933333333333323
bank-marketing,logreg,quantize,pi,1,0.0
bank-marketing,logreg,quantize,pi,2,0.0
bank-marketing,logreg,quantize,pi,3,0.0
bank-marketing,logreg,quantize,pi,4,0.040000000000000036
bank-marketing,logreg,quantize,pi,5,0.08000000000000007
bank-marketing,logreg,quantize,shap,1,0.01859999999999995
bank-marketing,logreg,quantize,shap,2,0.03939999999999999
bank-marketing,logreg,quantize,shap,3,0.06540000000000001
bank-marketing,logreg,quantize,shap,4,0.06319999999999992
bank-marketing,logreg,quantize,shap,5,0.10019999999999984
bank-marketing,rf,gradual,lime,1,0.09199999999999997
