dataset,model,scenario,method,monitor,explanation_first,first_alert
bank-marketing,rf,noise,pi,feature_ks_alert,2,1
bank-marketing,rf,missing,pi,feature_ks_alert,1,1
bank-marketing,rf,quantize,pi,feature_ks_alert,2,1
bank-marketing,rf,gradual,pi,feature_ks_alert,1,1
bank-marketing,hgb,mean_shift,pi,feature_ks_alert,2,1
bank-marketing,hgb,noise,pi,feature_ks_alert,2,1
bank-marketing,hgb,missing,pi,feature_ks_alert,1,1
bank-marketing,hgb,quantize,pi,feature_ks_alert,2,1
bank-marketing,hgb,gradual,pi,feature_ks_alert,1,1
electricity,logreg,mean_shift,pi,feature_ks_alert,6,1
electricity,logreg,noise,pi,feature_ks_alert,4,1
electricity,logreg,missing,pi,feature_ks_alert,4,1
electricity,logreg,quantize,pi,feature_ks_alert,6,1
electricity,logreg,gradual,pi,feature_ks_alert,6,1
electricity,rf,mean_shift,pi,feature_ks_alert,1,1
electricity,rf,noise,pi,feature_ks_alert,1,1
electricity,rf,missing,pi,feature_ks_alert,4,1
electricity,rf,quantize,pi,feature_ks_alert,1,1
electricity,rf,gradual,pi,feature_ks_alert,1,1
electricity,hgb,mean_shift,pi,feature_ks_alert,1,1
electricity,hgb,noise,pi,feature_ks_alert,3,1
electricity,hgb,missing,pi,feature_ks_alert,2,1
electricity,hgb,quantize,pi,feature_ks_alert,1,1
electricity,hgb,gradual,pi,feature_ks_alert,1,1
adult,logreg,mean_shift,pi,prediction_ks_alert,6,1
adult,logreg,noise,pi,prediction_ks_alert,4,3
adult,logreg,missing,pi,prediction_ks_alert,3,2
adult,logreg,quantize,pi,prediction_ks_alert,6,2
adult,logreg,gradual,pi,prediction_ks_alert,3,1
adult,rf,mean_shift,pi,prediction_ks_alert,2,1
adult,rf,noise,pi,prediction_ks_alert,3,2
adult,rf,missing,pi,prediction_ks_alert,2,2
adult,rf,quantize,pi,prediction_ks_alert,5,1
adult,rf,gradual,pi,prediction_ks_alert,2,1
adult,hgb,mean_shift,pi,prediction_ks_alert,2,1
adult,hgb,noise,pi,prediction_ks_alert,2,1
adult,hgb,missing,pi,prediction_ks_alert,3,2
adult,hgb,quantize,pi,prediction_ks_alert,5,1
adult,hgb,gradual,pi,prediction_ks_alert,2,1
bank-marketing,logreg,mean_shift,pi,prediction_ks_alert,6,1
