analysis_family,scope,dataset,model_scope,method,estimand_scope,scenario,severity,metric,estimate,ci_low_95,ci_high_95,n_dataset_strata,n_seed_clusters,bootstrap_replicates,replicate_unit
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.8170451770451772,0.8044639804639806,0.8288742368742369,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.9273660130718954,0.923843137254902,0.9308888888888888,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.4,spearman_all,0.8002645502645501,0.7657142857142858,0.8288888888888888,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.4,top3_all,0.8219753086419753,0.8096296296296298,0.8338271604938273,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.4,top3_all,0.8185185185185186,0.7977777777777779,0.837777777777778,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.4,top3_all,0.8548148148148149,0.8444444444444447,0.8666666666666668,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.4,top3_all,0.7925925925925926,0.762962962962963,0.8192592592592594,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.4,top5_all,0.8151111111111112,0.8069629629629631,0.8226666666666667,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.4,top5_all,0.772888888888889,0.7626666666666667,0.7813333333333334,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.4,top5_all,0.8551111111111112,0.8426555555555557,0.8640000000000001,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.4,top5_all,0.8173333333333336,0.7977777777777779,0.8346777777777777,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.6,cosine_all,0.9367672820349989,0.932702139590512,0.94075622521626,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.6,cosine_all,0.9206458604081391,0.9129698284613628,0.9283218923549154,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.6,cosine_all,0.9393094484903275,0.9338206168252505,0.9439680881814088,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.6,cosine_all,0.9503465372065303,0.9430563019905233,0.9575258929309942,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.6,sign_all,0.877566182788405,0.8669946717377273,0.8885590441965442,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.6,sign_all,0.8364806798140132,0.8144301315967983,0.858067494234161,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.6,sign_all,0.927717868551202,0.9182149825483158,0.9357664310997645,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.6,sign_all,0.8685,0.8509047619047619,0.8923148148148149,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.6,spearman_all,0.7848590262315752,0.7666505851628401,0.802528961071608,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.6,spearman_all,0.7239658119658121,0.6936947496947499,0.7460122100122101,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.6,spearman_all,0.8919869281045752,0.8817712418300655,0.9004052287581699,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.6,spearman_all,0.7386243386243386,0.6934391534391535,0.7838095238095237,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.6,top3_all,0.7879012345679013,0.7765432098765433,0.8009938271604938,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.6,top3_all,0.7874074074074076,0.78,0.7955555555555557,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.6,top3_all,0.8125925925925926,0.8,0.825925925925926,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.6,top3_all,0.7637037037037037,0.7348148148148148,0.7992592592592593,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.6,top5_all,0.7860740740740741,0.7764444444444446,0.7962962962962964,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.6,top5_all,0.7351111111111112,0.7235555555555555,0.7471111111111112,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.6,top5_all,0.824888888888889,0.8137777777777779,0.836888888888889,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.6,top5_all,0.7982222222222224,0.7755555555555558,0.8222222222222223,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.8,cosine_all,0.903981978152211,0.8988019717690742,0.9087012948780594,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.8,cosine_all,0.8831497980011924,0.8792456364290431,0.8871769801441189,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.8,cosine_all,0.9063934675021942,0.8955436399457408,0.9149269232236762,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.8,cosine_all,0.9224026689532465,0.9112628826190994,0.9322104482466645,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.8,sign_all,0.8385798594409705,0.8273190680975403,0.8500228919742808,3,15,10000,seed_cluster_within_fixed_dataset_stratum
