record_type,scope,dataset,model,seed,method,method_estimand,predictor,explanation_endpoint,rho,correlation_status,estimate,ci_low_95,ci_high_95,n_conditions,n_seed_clusters,bootstrap_replicates,replicate_unit
block,within_dataset_model_seed,adult,hgb,0.0,lime,local_attribution,dconf,cosine_instability,0.9315384615384614,ok,0.9315384615384614,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,1.0,lime,local_attribution,dconf,cosine_instability,0.9738461538461539,ok,0.9738461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,2.0,lime,local_attribution,dconf,cosine_instability,0.9092307692307693,ok,0.9092307692307693,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,3.0,lime,local_attribution,dconf,cosine_instability,0.9484615384615385,ok,0.9484615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,4.0,lime,local_attribution,dconf,cosine_instability,0.8846153846153847,ok,0.8846153846153847,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,0.0,lime,local_attribution,dconf,cosine_instability,0.9653846153846154,ok,0.9653846153846154,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,1.0,lime,local_attribution,dconf,cosine_instability,0.8876923076923076,ok,0.8876923076923076,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,2.0,lime,local_attribution,dconf,cosine_instability,0.9815384615384616,ok,0.9815384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,3.0,lime,local_attribution,dconf,cosine_instability,0.9723076923076923,ok,0.9723076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,4.0,lime,local_attribution,dconf,cosine_instability,0.9715384615384616,ok,0.9715384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,0.0,lime,local_attribution,dconf,cosine_instability,0.9438461538461539,ok,0.9438461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,1.0,lime,local_attribution,dconf,cosine_instability,0.9061538461538461,ok,0.9061538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,2.0,lime,local_attribution,dconf,cosine_instability,0.9307692307692308,ok,0.9307692307692308,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,3.0,lime,local_attribution,dconf,cosine_instability,0.94,ok,0.94,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,4.0,lime,local_attribution,dconf,cosine_instability,0.9423076923076923,ok,0.9423076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,0.0,lime,local_attribution,dconf,cosine_instability,0.9084615384615384,ok,0.9084615384615384,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,1.0,lime,local_attribution,dconf,cosine_instability,0.9646153846153847,ok,0.9646153846153847,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,2.0,lime,local_attribution,dconf,cosine_instability,0.9646153846153847,ok,0.9646153846153847,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,3.0,lime,local_attribution,dconf,cosine_instability,0.9238461538461539,ok,0.9238461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,4.0,lime,local_attribution,dconf,cosine_instability,0.9607692307692307,ok,0.9607692307692307,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,0.0,lime,local_attribution,dconf,cosine_instability,0.8561538461538462,ok,0.8561538461538462,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,1.0,lime,local_attribution,dconf,cosine_instability,0.9123076923076923,ok,0.9123076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,2.0,lime,local_attribution,dconf,cosine_instability,0.98,ok,0.98,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,3.0,lime,local_attribution,dconf,cosine_instability,0.9484615384615385,ok,0.9484615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,4.0,lime,local_attribution,dconf,cosine_instability,0.9376923076923077,ok,0.9376923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,0.0,lime,local_attribution,dconf,cosine_instability,0.8915384615384616,ok,0.8915384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,1.0,lime,local_attribution,dconf,cosine_instability,0.9053846153846155,ok,0.9053846153846155,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,2.0,lime,local_attribution,dconf,cosine_instability,0.8630769230769231,ok,0.8630769230769231,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,3.0,lime,local_attribution,dconf,cosine_instability,0.8615384615384615,ok,0.8615384615384615,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,4.0,lime,local_attribution,dconf,cosine_instability,0.8761538461538461,ok,0.8761538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,0.0,lime,local_attribution,dconf,cosine_instability,0.8892307692307693,ok,0.8892307692307693,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,1.0,lime,local_attribution,dconf,cosine_instability,0.8746153846153846,ok,0.8746153846153846,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,2.0,lime,local_attribution,dconf,cosine_instability,0.9115384615384616,ok,0.9115384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,3.0,lime,local_attribution,dconf,cosine_instability,0.8761538461538461,ok,0.8761538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,4.0,lime,local_attribution,dconf,cosine_instability,0.8538461538461539,ok,0.8538461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,0.0,lime,local_attribution,dconf,cosine_instability,0.9638461538461539,ok,0.9638461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,1.0,lime,local_attribution,dconf,cosine_instability,0.9584615384615384,ok,0.9584615384615384,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,2.0,lime,local_attribution,dconf,cosine_instability,0.9830769230769232,ok,0.9830769230769232,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,3.0,lime,local_attribution,dconf,cosine_instability,0.9684615384615385,ok,0.9684615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,4.0,lime,local_attribution,dconf,cosine_instability,0.9592307692307691,ok,0.9592307692307691,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,0.0,lime,local_attribution,dconf,cosine_instability,0.9238461538461539,ok,0.9238461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,1.0,lime,local_attribution,dconf,cosine_instability,0.9115384615384616,ok,0.9115384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,2.0,lime,local_attribution,dconf,cosine_instability,0.9199999999999999,ok,0.9199999999999999,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,3.0,lime,local_attribution,dconf,cosine_instability,0.9107692307692308,ok,0.9107692307692308,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,4.0,lime,local_attribution,dconf,cosine_instability,0.9284615384615384,ok,0.9284615384615384,,,25,1,0,single_seed_block
