window,start_date,end_date,model,mode,event_strength,accuracy,f1,average_precision,auroc,explanation_instability,explanation_instability_abs_sensitivity,importance_norm,importance_zero,previous_importance_zero,instability_status,abs_instability_status,top_feature
5,2012-05-30,2012-07-28,logistic,static_reference,1.6715583657310717,0.9833333333333333,0.9915966386554622,1.0,,1.0,1.0,0.0,True,False,one_zero,one_zero,
5,2012-05-30,2012-07-28,random_forest,rolling,1.6715583657310717,0.9833333333333333,0.9915966386554622,1.0,,1.0,1.0,0.0,True,False,one_zero,one_zero,
5,2012-05-30,2012-07-28,random_forest,static_reference,1.6715583657310717,1.0,1.0,1.0,,1.0,1.0,0.0,True,False,one_zero,one_zero,
5,2012-05-30,2012-07-28,hgb,rolling,1.6715583657310717,0.9666666666666667,0.9830508474576272,1.0,,1.0,1.0,0.0,True,False,one_zero,one_zero,
5,2012-05-30,2012-07-28,hgb,static_reference,1.6715583657310717,0.9666666666666667,0.9830508474576272,1.0,,1.0,1.0,0.0,True,False,one_zero,one_zero,
6,2012-06-29,2012-08-27,logistic,rolling,1.3657047496380268,0.9333333333333333,0.9655172413793104,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
6,2012-06-29,2012-08-27,logistic,static_reference,1.3657047496380268,0.9666666666666667,0.9830508474576272,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
6,2012-06-29,2012-08-27,random_forest,rolling,1.3657047496380268,0.9833333333333333,0.9915966386554622,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
6,2012-06-29,2012-08-27,random_forest,static_reference,1.3657047496380268,1.0,1.0,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
6,2012-06-29,2012-08-27,hgb,rolling,1.3657047496380268,0.9666666666666667,0.9830508474576272,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
6,2012-06-29,2012-08-27,hgb,static_reference,1.3657047496380268,0.95,0.9743589743589743,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
7,2012-07-29,2012-09-26,logistic,rolling,1.4382657511493098,0.9333333333333333,0.9655172413793104,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
7,2012-07-29,2012-09-26,logistic,static_reference,1.4382657511493098,0.9666666666666667,0.9830508474576272,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
7,2012-07-29,2012-09-26,random_forest,rolling,1.4382657511493098,0.9666666666666667,0.9830508474576272,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
7,2012-07-29,2012-09-26,random_forest,static_reference,1.4382657511493098,1.0,1.0,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
7,2012-07-29,2012-09-26,hgb,rolling,1.4382657511493098,0.9666666666666667,0.9830508474576272,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
7,2012-07-29,2012-09-26,hgb,static_reference,1.4382657511493098,0.95,0.9743589743589743,1.0,,0.0,0.0,0.0,True,True,both_zero,both_zero,
8,2012-08-28,2012-10-26,logistic,rolling,1.2829616293656003,0.8833333333333333,0.9369369369369369,0.9997175141242935,0.9830508474576272,1.0,1.0,0.0017053634954365426,False,True,one_zero,one_zero,atemp
8,2012-08-28,2012-10-26,logistic,static_reference,1.2829616293656003,0.9333333333333333,0.9649122807017544,0.9997175141242935,0.9830508474576272,1.0,1.0,0.0024043148516676997,False,True,one_zero,one_zero,temp
8,2012-08-28,2012-10-26,random_forest,rolling,1.2829616293656003,0.95,0.9739130434782609,0.999430240352389,0.9661016949152542,1.0,1.0,0.0015176906149560695,False,True,one_zero,one_zero,atemp
8,2012-08-28,2012-10-26,random_forest,static_reference,1.2829616293656003,0.9166666666666666,0.9557522123893806,0.9994302403523889,0.9661016949152542,1.0,1.0,0.0008744320732681545,False,True,one_zero,one_zero,temp
8,2012-08-28,2012-10-26,hgb,rolling,1.2829616293656003,0.8833333333333333,0.9380530973451328,0.998229830182924,0.8983050847457628,1.0,1.0,0.006246262094204118,False,True,one_zero,one_zero,atemp
8,2012-08-28,2012-10-26,hgb,static_reference,1.2829616293656003,0.8833333333333333,0.9369369369369369,0.9994302403523889,0.9661016949152542,1.0,1.0,0.00182796942285324,False,True,one_zero,one_zero,atemp
9,2012-09-27,2012-11-25,logistic,rolling,0.437294202472348,0.55,0.6666666666666666,0.9860560998816479,0.8827160493827162,0.06429142998276804,0.051941822938418314,0.017841962120242444,False,False,regular,regular,atemp
9,2012-09-27,2012-11-25,logistic,static_reference,0.437294202472348,0.6166666666666667,0.7294117647058823,0.9879535204113619,0.8981481481481483,0.040821429295358924,0.038975843318755254,0.019528083804484696,False,False,regular,regular,temp
9,2012-09-27,2012-11-25,random_forest,rolling,0.437294202472348,0.5833333333333334,0.6987951807228916,0.9840240404804059,0.8703703703703705,0.16476140701911768,0.12016378523961735,0.020128113662537497,False,False,regular,regular,atemp
9,2012-09-27,2012-11-25,random_forest,static_reference,0.437294202472348,0.5666666666666667,0.6829268292682927,0.9813484693232934,0.8518518518518519,0.14212141809625134,0.12026793720007811,0.017715490287200836,False,False,regular,regular,atemp
9,2012-09-27,2012-11-25,hgb,rolling,0.437294202472348,0.6833333333333333,0.7912087912087912,0.9801625654938318,0.8549382716049383,0.33692119747888605,0.34015427395477194,0.020305174974744735,False,False,regular,regular,temp
9,2012-09-27,2012-11-25,hgb,static_reference,0.437294202472348,0.65,0.7586206896551724,0.9843642579039706,0.8734567901234568,0.24466122245986166,0.24410369413037558,0.034350907503952456,False,False,regular,regular,atemp
10,2012-10-27,2012-12-25,logistic,rolling,0.3268355118150104,0.3,0.25,0.9690940771177399,0.8979591836734694,0.09431759322832445,0.09327780655654028,0.059113906835759636,False,False,regular,regular,atemp
10,2012-10-27,2012-12-25,logistic,static_reference,0.3268355118150104,0.35,0.3389830508474576,0.9791817629319978,0.9183673469387754,0.17892495280335907,0.1729011372077386,0.036296647901124204,False,False,regular,regular,holiday
10,2012-10-27,2012-12-25,random_forest,rolling,0.3268355118150104,0.26666666666666666,0.18518518518518517,0.9082053652110473,0.725417439703154,0.09414205137009801,0.3447837842632989,0.03658489586376915,False,False,regular,regular,atemp
10,2012-10-27,2012-12-25,random_forest,static_reference,0.3268355118150104,0.2833333333333333,0.21818181818181817,0.9479616982006864,0.8460111317254174,0.2754356755363889,0.279164604153218,0.029314734637167855,False,False,regular,regular,season
10,2012-10-27,2012-12-25,hgb,rolling,0.3268355118150104,0.36666666666666664,0.3870967741935484,0.9455800292476011,0.8423005565862709,0.23395248663690604,0.19296995138010076,0.06946986826090304,False,False,regular,regular,hum
10,2012-10-27,2012-12-25,hgb,static_reference,0.3268355118150104,0.43333333333333335,0.46875,0.9638058292786811,0.8738404452690167,0.05472647212146764,0.05416302027473274,0.05473948087563945,False,False,regular,regular,atemp
